cluster_key,family_id,motif,operator,primary_field,partner_field,clue_count,best_quality_score,best_ic,median_control_ratio,best_clean_label_count
F1a_aggtrades_flow_microstructure|flow_reversal|ZScore|agg_max_trade_notional|funding_rate,F1a_aggtrades_flow_microstructure,flow_reversal,ZScore,agg_max_trade_notional,funding_rate,1,67.05889264840505,0.0213166637142424,0.0145547446038382,6
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|ZScore|agg_large_notional_ratio_100k_plus|funding_rate,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,ZScore,agg_large_notional_ratio_100k_plus,funding_rate,1,66.89737035058485,0.0267525358637738,0.1555766471585071,6
F1a_aggtrades_flow_microstructure|flow_reversal|TSRank|agg_large_notional_ratio_100k_plus|funding_rate,F1a_aggtrades_flow_microstructure,flow_reversal,TSRank,agg_large_notional_ratio_100k_plus,funding_rate,1,66.34545730650137,0.0270941049127915,0.2727906369555553,6
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|ZScore|agg_volume_imbalance|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,ZScore,agg_volume_imbalance,mark_index_basis_bps,1,66.27524143638507,0.0151707287021517,0.0483662867660207,6
F1a_aggtrades_flow_microstructure|large_trade_shock|Delta|agg_max_trade_notional|funding_rate,F1a_aggtrades_flow_microstructure,large_trade_shock,Delta,agg_max_trade_notional,funding_rate,1,66.219365168216,0.018671324388003,0.1295534541168591,6
F1a_aggtrades_flow_microstructure|flow_x_dislocation|Delta|agg_max_trade_notional|funding_rate,F1a_aggtrades_flow_microstructure,flow_x_dislocation,Delta,agg_max_trade_notional,funding_rate,1,66.15263074542179,0.0124815508863252,0.0191048686421456,6
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|SpreadShortLong|agg_max_trade_notional|funding_rate,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,SpreadShortLong,agg_max_trade_notional,funding_rate,1,65.99692982654402,0.0186126532084867,0.1728670988609312,6
F1b_taker_flow_market_panel|taker_flow_x_liquidity|ZScore|trade_quote_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_liquidity,ZScore,trade_quote_volume,funding_rate,1,65.87237306704468,0.0172539333641549,0.1706040538741641,6
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|Delta|agg_max_trade_notional|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,Delta,agg_max_trade_notional,premium_index_bps,1,65.80919057113134,0.0185521577227064,0.209205040227859,6
F1b_taker_flow_market_panel|taker_flow_x_liquidity|ZScore|taker_buy_quote_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_liquidity,ZScore,taker_buy_quote_volume,funding_rate,1,65.62402277798004,0.0206055230262792,0.287305904929575,6
F1a_aggtrades_flow_microstructure|large_trade_shock|Delta|agg_max_trade_notional|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,large_trade_shock,Delta,agg_max_trade_notional,mark_index_basis_bps,1,65.48100498570417,0.0183254653812819,0.2703083104848041,6
F2a_basis_funding_independent|funding_persistence_low_turnover|WinsorZ|funding_rate|trade_volume,F2a_basis_funding_independent,funding_persistence_low_turnover,WinsorZ,funding_rate,trade_volume,1,65.43377324620448,0.0125960502232091,0.1651663552232868,6
F1a_aggtrades_flow_microstructure|flow_x_dislocation|SpreadShortLong|agg_max_trade_notional|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,SpreadShortLong,agg_max_trade_notional,mark_index_basis_bps,1,65.42851034430025,0.0259882915326887,0.4340637617937247,6
F1a_aggtrades_flow_microstructure|flow_reversal|ZScore|agg_volume_imbalance|funding_rate,F1a_aggtrades_flow_microstructure,flow_reversal,ZScore,agg_volume_imbalance,funding_rate,1,65.39791234841157,0.0168077772726293,0.2565730757702717,6
F1a_aggtrades_flow_microstructure|large_trade_shock|TSRank|agg_max_trade_notional|funding_rate,F1a_aggtrades_flow_microstructure,large_trade_shock,TSRank,agg_max_trade_notional,funding_rate,1,65.35079916886909,0.0282853310751413,0.4955467877290076,6
F2a_basis_funding_independent|basis_x_flow|Delta|premium_close|trade_quote_volume,F2a_basis_funding_independent,basis_x_flow,Delta,premium_close,trade_quote_volume,1,65.33910600815648,0.0078974593675474,0.090127985719654,6
F2a_basis_funding_independent|funding_persistence_low_turnover|Delta|premium_close_bps|trade_quote_volume,F2a_basis_funding_independent,funding_persistence_low_turnover,Delta,premium_close_bps,trade_quote_volume,1,65.33904859704299,0.00789750761398,0.0901404328710016,6
F1a_aggtrades_flow_microstructure|flow_reversal|Delta|agg_large_notional_ratio_100k_plus|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_reversal,Delta,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,1,65.28149528842738,0.0147584212281772,0.2388693668780671,6
F1b_taker_flow_market_panel|taker_flow_x_vol|WinsorZ|taker_buy_quote_volume|premium_close_bps,F1b_taker_flow_market_panel,taker_flow_x_vol,WinsorZ,taker_buy_quote_volume,premium_close_bps,1,65.27465213118154,0.0085940721930264,0.1169510176242186,6
F1a_aggtrades_flow_microstructure|large_trade_shock|WinsorZ|agg_signed_aggressor_notional|funding_rate,F1a_aggtrades_flow_microstructure,large_trade_shock,WinsorZ,agg_signed_aggressor_notional,funding_rate,1,65.16331094063196,0.0139147257745891,0.2456323273653899,6
