label_family,count,share
L5_vol_adjusted_return,49,0.8596491228070176
L3_liquidity_tier_relative_return,5,0.08771929824561403
L1_cross_sectional_relative_return,2,0.03508771929824561
L0_raw_forward_return,1,0.017543859649122806
