rule_class,rule,stage,status
preflight_readiness,may_exclusion_mechanical,before_level1,pass
preflight_readiness,operator_extension_gate,before_level1,pass
preflight_readiness,feature_timing_contract,before_level1,pass
preflight_readiness,metric_availability,before_level1,pass
post_run_stop_rule,unique_expr_ratio>=0.90,after_level1_run,not_evaluated_in_preflight
post_run_stop_rule,preselection_rate>=0.10,after_level1_run,not_evaluated_in_preflight
post_run_stop_rule,near_miss_pool_and_return_corr_cluster_growth,after_level1_run,not_evaluated_in_preflight
