metric,source_column,available,status
20bps_validation,raw_20bp__validation_2025H1__annualized_mean,True,pass
20bps_recent,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,True,pass
lag1_validation,execution_lag_1bar_raw_10bp__validation_2025H1__annualized_mean,True,pass
lag1_recent,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,True,pass
gross_exposure_validation,raw_10bp__validation_2025H1__mean_gross_exposure,True,pass
gross_exposure_recent,raw_10bp__recent_oos_2025H2_2026Apr__mean_gross_exposure,True,pass
