metric,source_column,available,status
residual_funding_validation,residual_vs_funding_10bp__validation_2025H1__annualized_mean,True,pass
residual_funding_recent,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__annualized_mean,True,pass
residual_funding_may_stress_only,residual_vs_funding_10bp__fresh_forward_2026May__annualized_mean,True,pass
residual_core4_recent,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__annualized_mean,True,pass
funding_beta_penalty,funding_beta_recent,True,pass
core4_beta_penalty,core4_beta_recent,True,pass
