candidate_id,return_corr_cluster,max_corr_to_prior,cluster_size
a7o_l1_C0297_0484,rc_113,0.0,1
a7o_l1_C0297_1163,rc_114,0.0,1
a7o_l1_C0298_1842,rc_115,0.0,1
a7o_l1_C0298_0181,rc_116,0.0,1
a7o_l1_C0298_0757,rc_117,0.0,1
a7o_l1_C0299_0774,rc_118,0.0,1
a7o_l1_C0299_0756,rc_119,0.0,1
a7o_l1_C0299_0387,rc_120,0.0,1
a7o_l1_C0300_0757,rc_121,0.0,1
a7o_l1_C0300_1357,rc_122,0.0,1
a7o_l1_C0300_0290,rc_123,0.0,1
a7o_l1_C0301_0181,rc_124,0.0,1
a7o_l1_C0301_0373,rc_125,0.0,1
a7o_l1_C0301_0096,rc_126,0.0,1
a7o_l1_C0302_0372,rc_127,0.0,2
a7o_l1_C0302_1066,rc_128,0.0,1
a7o_l1_C0302_0564,rc_127,0.947798668344118,2
a7o_l1_C0303_0484,rc_129,0.0,1
a7o_l1_C0303_1357,rc_130,0.0,1
a7o_l1_C0303_1842,rc_131,0.0,1
a7o_l1_C0304_0564,rc_132,0.0,1
a7o_l1_C0304_2033,rc_133,0.0,1
a7o_l1_C0304_1648,rc_134,0.0,1
a7o_l1_C0305_0678,rc_135,0.0,1
a7o_l1_C0305_0872,rc_136,0.0,1
a7o_l1_C0305_0193,rc_137,0.0,1
a7o_l1_C0306_0969,rc_138,0.0,1
a7o_l1_C0306_0949,rc_139,0.0,1
a7o_l1_C0306_1842,rc_140,0.0,1
a7o_l1_C0307_0372,rc_141,0.0,1
a7o_l1_C0307_0564,rc_142,0.0,1
a7o_l1_C0307_2036,rc_143,0.0,1
a7o_l1_C0308_0578,rc_046,0.8679083467029981,6
a7o_l1_C0308_0579,rc_144,0.0,6
a7o_l1_C0308_0577,rc_098,0.8719587882696093,2
a7o_l1_C0309_0949,rc_006,0.829950819216402,2
a7o_l1_C0309_1357,rc_145,0.0,1
a7o_l1_C0309_0484,rc_146,0.0,1
a7o_l1_C0310_1446,rc_147,0.0,1
a7o_l1_C0310_2028,rc_148,0.0,1
a7o_l1_C0310_0380,rc_149,0.0,1
a7o_l1_C0311_0677,rc_150,0.0,1
a7o_l1_C0312_0564,rc_151,0.0,1
a7o_l1_C0312_0373,rc_152,0.0,1
a7o_l1_C0312_0949,rc_153,0.0,1
a7o_l1_C0314_0564,rc_154,0.0,1
a7o_l1_C0314_0387,rc_155,0.0,1
a7o_l1_C0314_1454,rc_156,0.0,1
a7o_l1_C0316_0484,rc_157,0.0,1
a7o_l1_C0316_0581,rc_144,0.8208660130846044,6
a7o_l1_C0316_0096,rc_144,0.9314450892835517,6
a7o_l1_C0317_0756,rc_158,0.0,1
a7o_l1_C0317_2036,rc_159,0.0,1
a7o_l1_C0317_0180,rc_160,0.0,1
a7o_l1_C0318_0774,rc_144,0.832294433830326,6
a7o_l1_C0318_1454,rc_161,0.0,1
a7o_l1_C0318_0387,rc_162,0.0,1
a7o_l1_C0319_0290,rc_163,0.0,1
a7o_l1_C0319_0565,rc_164,0.0,1
a7o_l1_C0319_0564,rc_165,0.0,1
a7o_l1_C0280_0565,rc_166,0.0,1
a7o_l1_C0289_0561,rc_167,0.0,1
a7o_l1_C0262_0177,rc_020,0.816158326701111,2
a7o_l1_C0262_0561,rc_168,0.0,1
a7o_l1_C0280_0564,rc_169,0.0,1
a7o_l1_C0316_1163,rc_144,0.8229001232853315,6
a7o_l1_C0316_0387,rc_144,0.9543608168056238,6
a7o_l1_C0289_2032,rc_092,0.8314879498779753,3
