cell_id,candidate_decision,count
C0256,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0257,A7O_PILOT_REJECTED,3
C0258,A7O_PILOT_REJECTED,1
C0258,A7O_PILOT_RESEARCH_CANDIDATE,2
C0259,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0259,A7O_PILOT_REJECTED,1
C0259,A7O_PILOT_RESEARCH_CANDIDATE,1
C0260,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0260,A7O_PILOT_REJECTED,1
C0261,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0262,A7O_PILOT_MAY_VETOED_NEAR_MISS,5
C0263,A7O_PILOT_REJECTED,3
C0264,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0264,A7O_PILOT_REJECTED,2
C0265,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0265,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0265,A7O_PILOT_REJECTED,1
C0266,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0266,A7O_PILOT_REJECTED,2
C0267,A7O_PILOT_REJECTED,3
C0268,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0268,A7O_PILOT_REJECTED,1
C0269,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0269,A7O_PILOT_REJECTED,2
C0270,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0271,A7O_PILOT_REJECTED,2
C0271,A7O_PILOT_RESEARCH_CANDIDATE,1
C0272,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0273,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0273,A7O_PILOT_REJECTED,1
C0274,A7O_PILOT_REJECTED,2
C0274,A7O_PILOT_RESEARCH_CANDIDATE,1
C0275,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0275,A7O_PILOT_REJECTED,2
C0276,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0276,A7O_PILOT_REJECTED,1
C0277,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0278,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0279,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0279,A7O_PILOT_REJECTED,1
C0280,A7O_PILOT_MAY_VETOED_NEAR_MISS,5
C0281,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0282,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0282,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0282,A7O_PILOT_RESEARCH_CANDIDATE,1
C0283,NEGATIVE_CONTROL,3
C0284,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0284,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0284,A7O_PILOT_REJECTED,1
C0285,NEGATIVE_CONTROL,3
C0286,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0286,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0286,A7O_PILOT_REJECTED,1
C0287,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0287,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0287,A7O_PILOT_RESEARCH_CANDIDATE,1
C0288,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0288,A7O_PILOT_REJECTED,2
C0289,A7O_PILOT_MAY_VETOED_NEAR_MISS,5
C0290,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0290,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0291,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0291,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0292,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0292,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0293,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0293,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0293,A7O_PILOT_REJECTED,1
C0294,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0294,A7O_PILOT_REJECTED,2
C0295,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0295,A7O_PILOT_REJECTED,1
C0296,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0296,A7O_PILOT_REJECTED,2
C0297,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0297,A7O_PILOT_REJECTED,2
C0298,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0298,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0298,A7O_PILOT_REJECTED,1
C0299,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0299,A7O_PILOT_REJECTED,1
C0300,A7O_PILOT_REJECTED,3
C0301,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0301,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0302,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0303,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0304,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0304,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0304,A7O_PILOT_RESEARCH_CANDIDATE,1
C0305,A7O_PILOT_REJECTED,3
