candidate_id,seed_lane,second_pass_family,label_family,label_horizon_h,left_field,left_transform,operator,right_field,right_transform,control_ratio_premay_max
core16he_H2_I4_near_miss_repair_taker_buy_sell_volume_ratio_last_shock_24h_SafeDiv_open_interest_last_zscore_168h|L5_vol_adjusted_return|24,S2_taker_flow_liquidity_oi,H2_I4_near_miss_repair,L5_vol_adjusted_return,24,taker_buy_sell_volume_ratio_last,shock_24h,SafeDiv,open_interest_last,zscore_168h,0.947619754963101
core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_value_last_zscore_168h|L0_raw_forward_return|24,S3_cross_family_bridge,H3_cross_family_bridge,L0_raw_forward_return,24,top_long_short_position_ratio_last,spread_short_long,SafeDiv,open_interest_value_last,zscore_168h,0.6974625475030997
core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_value_last_zscore_168h|L1_cross_sectional_relative_return|24,S3_cross_family_bridge,H3_cross_family_bridge,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,spread_short_long,SafeDiv,open_interest_value_last,zscore_168h,0.6974625475030999
core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_value_last_zscore_168h|L3_liquidity_tier_relative_return|24,S3_cross_family_bridge,H3_cross_family_bridge,L3_liquidity_tier_relative_return,24,top_long_short_position_ratio_last,spread_short_long,SafeDiv,open_interest_value_last,zscore_168h,0.7057943697854729
