candidate_id,production_family,horizon,source_fields,availability_mask,feature_available_lag_bars,replay_control_modes,blocked_control_modes,has_all_replay_controls,has_all_blocked_controls,decision
a7v3_rolling_self_reproduction_12_566291daed88,rolling_self_reproduction,12,agg_avg_agg_trade_notional,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_59b35b375ae9,rolling_self_reproduction,12,agg_avg_underlying_trade_notional,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_b28d7ce95edf,rolling_self_reproduction,12,agg_max_trade_notional,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_b26d29c81a80,rolling_self_reproduction,12,agg_notional,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_b3789982a101,rolling_self_reproduction,12,agg_notional_100_1k,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_214b62a005b2,rolling_self_reproduction,12,agg_notional_100k_1m,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_3eb1e9032578,rolling_self_reproduction,12,agg_notional_10k_100k,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_9fa317374c73,rolling_self_reproduction,12,agg_notional_1k_10k,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_e7538e540549,rolling_self_reproduction,12,agg_notional_gt_1m,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_df2cbf21af24,rolling_self_reproduction,12,agg_notional_le_100,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_dd3b78a80285,rolling_self_reproduction,12,agg_quantity,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_00b278cfd69c,rolling_self_reproduction,12,agg_trade_count,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_69861a81fba7,rolling_self_reproduction,12,agg_trade_count_100_1k,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_e7d584a35a3d,rolling_self_reproduction,12,agg_trade_count_100k_1m,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_ede80b2dbc95,rolling_self_reproduction,12,agg_trade_count_10k_100k,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_519354de8b22,rolling_self_reproduction,12,agg_trade_count_1k_10k,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_4ad10b772ccf,rolling_self_reproduction,12,agg_trade_count_gt_1m,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_ec56094dd3b6,rolling_self_reproduction,12,agg_trade_count_le_100,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_4beec949fff2,rolling_self_reproduction,12,agg_underlying_trade_count,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_4df5062b4697,rolling_self_reproduction,12,agg_avg_agg_trade_notional,agg_features_available,8,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_96dd62c4e646,rolling_self_reproduction,12,agg_avg_underlying_trade_notional,agg_features_available,8,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_7ad3ab89f2d4,rolling_self_reproduction,12,agg_max_trade_notional,agg_features_available,8,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_688545fc21a6,rolling_self_reproduction,12,agg_btcusdt_flow_imbalance_4h,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_0376d13ef0d5,rolling_self_reproduction,12,agg_cross_symbol_large_notional_share,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_cd4769e57e44,rolling_self_reproduction,12,agg_cross_symbol_notional_share,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_648ad4a7779d,rolling_self_reproduction,12,agg_cross_symbol_signed_flow_share,agg_features_available,4,4,3,True,True,PASS
a7v3_rolling_self_reproduction_12_23275c8943f8,rolling_self_reproduction,12,agg_ethusdt_flow_imbalance_4h,agg_features_available,4,4,3,True,True,PASS
