candidate_id,interval,horizon,motif_family,priority,expression,source_features,feature_families,availability_mask,decision
crypto_a1_1h_1_price_momentum_continuation_cd58bdfa34b6,1h,1,price_momentum_continuation,medium,Rank(ret_3),"[""ret_3""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_momentum_continuation_fd4cc71299e6,1h,1,price_momentum_continuation,medium,Rank(ret_24),"[""ret_24""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_momentum_continuation_caae96ebcea8,1h,1,price_momentum_continuation,medium,Rank(ret_6),"[""ret_6""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_momentum_continuation_7b779638e1a8,1h,1,price_momentum_continuation,medium,Rank(ret_12),"[""ret_12""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_basis_premium_continuation_2f57cd57cb58,1h,1,basis_premium_continuation,medium,Rank(premium_index),"[""premium_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_basis_premium_continuation_97d363b5f73e,1h,1,basis_premium_continuation,medium,Rank(mark_minus_index),"[""mark_minus_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_basis_confirmation_a3ece719e014,1h,1,price_basis_confirmation,medium,"Mul(Rank(ret_3),Rank(premium_index))","[""ret_3"", ""premium_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_basis_confirmation_af6489903a6a,1h,1,price_basis_confirmation,medium,"Mul(Rank(ret_3),Rank(mark_minus_index))","[""ret_3"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_basis_confirmation_419b4b2e5a89,1h,1,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(premium_index))","[""ret_24"", ""premium_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_basis_confirmation_cd03f009af21,1h,1,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(mark_minus_index))","[""ret_24"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
