expression,horizon,month,net10,active_hours
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-01,-2.143644635556819,721
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-02,-0.945856717815864,686
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-03,-3.154524022895158,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-04,0.479348288502818,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-05,-0.5969797192919969,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-06,-0.09118599624661453,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-07,-0.8752698387807393,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-08,-0.16846786806526473,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-09,0.6488466876077287,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-10,0.8970788620577651,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-11,-2.723213270062873,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2024-12,0.735353339905414,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-01,0.04932762526494589,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-02,0.6204923867144161,672
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-03,-2.0799837950262945,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-04,0.11572662296275893,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-05,1.776186217824912,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-06,0.021913401487068062,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-07,-1.4562569390565665,742
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-08,-0.28492997388774965,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-09,-0.49682195345783964,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-10,2.076002742065681,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-11,0.4489288564114225,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2025-12,-0.29547433712401183,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2026-01,-0.19171989468017336,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2026-02,-0.0875484693353611,672
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2026-03,0.7082761643622429,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2026-04,0.5284432372935906,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,2026-05,0.5887871048371319,480
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-01,-3.559161834978827,721
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-02,0.4152062272834617,686
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-03,-2.530956258951094,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-04,-1.3696327738063905,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-05,-1.3647763627253335,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-06,0.07926324025627801,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-07,-0.2356207622361713,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-08,-0.6888127524747961,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-09,1.2650452963846843,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-10,3.242636246994801,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-11,-6.219686426853217,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2024-12,-0.41950979206680783,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-01,0.2302875459973424,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-02,1.262253730809343,672
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-03,-3.102915818472435,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-04,-0.7578721881125898,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-05,2.5487550858816834,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-06,0.9368321866908924,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-07,-2.038153712771304,742
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-08,-0.7970541078960651,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-09,-0.005451347939163772,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-10,2.151369978226689,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-11,0.488524267410323,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2025-12,1.1158213273713724,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2026-01,0.1914755285102674,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2026-02,-0.673593374919312,672
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2026-03,0.42645406181142204,744
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2026-04,0.5298758225549706,720
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,2026-05,0.7302147525659564,456
