horizon,recent_positive_symbols,recent_top_symbol_abs_share,recent_top_month_abs_share,recent_months_positive,recent_months_total
24,7,0.2483287679547261,0.31577055416002026,4,10
48,7,0.2119512959586039,0.25557470401288523,6,10
