date,symbol,weight,variant,seed
2024-06-01 00:00:00+00:00,ADAUSDT,0.101865806,CHALLENGER,1701
2024-06-01 00:00:00+00:00,BCHUSDT,0.11402842,CHALLENGER,1701
2024-06-01 00:00:00+00:00,BNBUSDT,0.091397956,CHALLENGER,1701
2024-06-01 00:00:00+00:00,DOGEUSDT,0.08401171,CHALLENGER,1701
2024-06-01 00:00:00+00:00,ETHUSDT,0.10900284,CHALLENGER,1701
2024-06-01 00:00:00+00:00,LINKUSDT,0.098587476,CHALLENGER,1701
2024-06-01 00:00:00+00:00,LTCUSDT,0.1087377,CHALLENGER,1701
2024-06-01 00:00:00+00:00,SOLUSDT,0.08905828,CHALLENGER,1701
2024-06-01 00:00:00+00:00,SUIUSDT,0.11579627,CHALLENGER,1701
2024-06-01 00:00:00+00:00,XRPUSDT,0.08751358,CHALLENGER,1701
2024-06-02 00:00:00+00:00,ADAUSDT,0.10216713,CHALLENGER,1701
2024-06-02 00:00:00+00:00,BCHUSDT,0.113619976,CHALLENGER,1701
2024-06-02 00:00:00+00:00,BNBUSDT,0.090919524,CHALLENGER,1701
2024-06-02 00:00:00+00:00,DOGEUSDT,0.08369756,CHALLENGER,1701
2024-06-02 00:00:00+00:00,ETHUSDT,0.110310435,CHALLENGER,1701
2024-06-02 00:00:00+00:00,LINKUSDT,0.098337345,CHALLENGER,1701
2024-06-02 00:00:00+00:00,LTCUSDT,0.10816087,CHALLENGER,1701
2024-06-02 00:00:00+00:00,SOLUSDT,0.088066794,CHALLENGER,1701
2024-06-02 00:00:00+00:00,SUIUSDT,0.11726633,CHALLENGER,1701
2024-06-02 00:00:00+00:00,XRPUSDT,0.08745414,CHALLENGER,1701
2024-06-03 00:00:00+00:00,ADAUSDT,0.10240702,CHALLENGER,1701
2024-06-03 00:00:00+00:00,BCHUSDT,0.11247877,CHALLENGER,1701
2024-06-03 00:00:00+00:00,BNBUSDT,0.09045057,CHALLENGER,1701
2024-06-03 00:00:00+00:00,DOGEUSDT,0.08427844,CHALLENGER,1701
2024-06-03 00:00:00+00:00,ETHUSDT,0.11032285,CHALLENGER,1701
