epoch,batch,batch_loss,gradient_l2_norm,batch_weight_variance,batch_weight_min,batch_weight_max,variant,seed
0,0,-0.16581866145133972,0.08452893793582916,9.094020788324997e-05,0.0834755077958107,0.12341374158859253,CHALLENGER,1701
0,1,-0.2971769869327545,0.04256994277238846,9.636615868657827e-05,0.08349385857582092,0.12365735322237015,CHALLENGER,1701
0,2,-0.45305976271629333,0.26394811272621155,9.347384184366092e-05,0.08429296314716339,0.12262308597564697,CHALLENGER,1701
1,0,-0.27253076434135437,0.08164910972118378,8.958256512414664e-05,0.08388502895832062,0.12384707480669022,CHALLENGER,1701
1,1,-0.4038638472557068,0.17541392147541046,9.348252206109464e-05,0.08351770788431168,0.12391562759876251,CHALLENGER,1701
1,2,-0.11787998676300049,0.04691990092396736,9.513942495686933e-05,0.0835939273238182,0.12378118187189102,CHALLENGER,1701
2,0,-0.12588641047477722,0.059723805636167526,9.629256237531081e-05,0.08367756754159927,0.12477932870388031,CHALLENGER,1701
2,1,-0.4846818447113037,0.20678921043872833,9.93859430309385e-05,0.08325409889221191,0.12428980320692062,CHALLENGER,1701
2,2,-0.22990044951438904,0.19050034880638123,8.76780686667189e-05,0.08382594585418701,0.12355358153581619,CHALLENGER,1701
3,0,-0.09337843954563141,0.16250847280025482,9.47213702602312e-05,0.08307497948408127,0.12537775933742523,CHALLENGER,1701
3,1,-0.40053147077560425,0.3066360056400299,9.77354429778643e-05,0.08343441039323807,0.12569266557693481,CHALLENGER,1701
3,2,-0.42198848724365234,0.08552014827728271,0.00010154895426239818,0.08392375707626343,0.1250344067811966,CHALLENGER,1701
4,0,-0.13449512422084808,0.045884743332862854,9.63623751886189e-05,0.08304262161254883,0.1249302551150322,CHALLENGER,1701
4,1,-0.528766930103302,0.26760202646255493,9.841145219979808e-05,0.08301246911287308,0.12623590230941772,CHALLENGER,1701
4,2,-0.15783166885375977,0.1901448518037796,0.00010273003135807812,0.08380004018545151,0.1255398690700531,CHALLENGER,1701
5,0,-0.1612142026424408,0.04422662407159805,9.658610360929742e-05,0.08267385512590408,0.12599673867225647,CHALLENGER,1701
5,1,-0.36956316232681274,0.2148316353559494,0.000102173478808254,0.08259058743715286,0.12637460231781006,CHALLENGER,1701
5,2,-0.3759203851222992,0.08438412845134735,0.0001044584860210307,0.08274602890014648,0.1270161271095276,CHALLENGER,1701
6,0,-0.14991283416748047,0.14630097150802612,9.79235555860214e-05,0.08227191120386124,0.12679466605186462,CHALLENGER,1701
6,1,-0.3279975354671478,0.09640911221504211,0.00010537556954659522,0.08201757818460464,0.12735560536384583,CHALLENGER,1701
6,2,-0.4680558145046234,0.37225404381752014,0.00010722102160798386,0.082377590239048,0.12663912773132324,CHALLENGER,1701
