dataset,rows,symbols,duplicate_symbol_timestamp,inf_cell_count,nan_cell_count,timestamp_min,timestamp_max
funding,3927,35,0,0,0,2026-04-26 16:00:00+00:00,2026-05-26 12:00:00+00:00
mark_1h,22520,39,0,0,0,2026-04-26 15:00:00+00:00,2026-05-26 15:00:00+00:00
index_1h,21581,36,0,0,0,2026-04-26 15:00:00+00:00,2026-05-26 15:00:00+00:00
open_interest_snapshot,35,35,0,0,0,2026-05-26 14:27:51.520000+00:00,2026-05-26 15:01:00.653000+00:00
