symbol,instId,funding_status,funding_rows_manifest,mark_1h_status,mark_1h_rows_manifest,index_1h_status,index_1h_rows_manifest,open_interest_snapshot_status,open_interest_snapshot_rows_manifest,funding_rows_actual,funding_timestamp_min,funding_timestamp_max,mark_1h_rows_actual,mark_1h_timestamp_min,mark_1h_timestamp_max,index_1h_rows_actual,index_1h_timestamp_min,index_1h_timestamp_max
RVNUSDT,RVN-USDT-SWAP,ok,90,error,100,ok,721,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,100,2026-05-22 12:00:00+00:00,2026-05-26 15:00:00+00:00,721,2026-04-26 15:00:00+00:00,2026-05-26 15:00:00+00:00
SANDUSDT,SAND-USDT-SWAP,ok,90,error,700,error,500,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,700,2026-04-27 11:00:00+00:00,2026-05-26 14:00:00+00:00,500,2026-05-05 19:00:00+00:00,2026-05-26 14:00:00+00:00
SFPUSDT,SFP-USDT-SWAP,ok,0,ok,0,ok,0,ok,0,0,,,0,,,0,,
SKLUSDT,SKL-USDT-SWAP,ok,0,ok,0,ok,720,ok,0,0,,,0,,,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
SNXUSDT,SNX-USDT-SWAP,ok,90,ok,720,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
SOLUSDT,SOL-USDT-SWAP,ok,90,error,500,error,0,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,500,2026-05-05 19:00:00+00:00,2026-05-26 14:00:00+00:00,0,,
STORJUSDT,STORJ-USDT-SWAP,ok,0,ok,0,error,0,ok,0,0,,,0,,,0,,
SUSHIUSDT,SUSHI-USDT-SWAP,ok,90,error,500,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,500,2026-05-05 19:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
TRBUSDT,TRB-USDT-SWAP,ok,180,error,500,error,0,ok,1,180,2026-04-26 16:00:00+00:00,2026-05-26 12:00:00+00:00,500,2026-05-05 19:00:00+00:00,2026-05-26 14:00:00+00:00,0,,
TRXUSDT,TRX-USDT-SWAP,ok,90,ok,720,error,100,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,100,2026-05-22 11:00:00+00:00,2026-05-26 14:00:00+00:00
UNIUSDT,UNI-USDT-SWAP,error,0,ok,720,error,500,ok,1,0,,,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,500,2026-05-05 19:00:00+00:00,2026-05-26 14:00:00+00:00
VETUSDT,VET-USDT-SWAP,ok,0,error,0,ok,0,ok,0,0,,,0,,,0,,
XLMUSDT,XLM-USDT-SWAP,ok,90,ok,720,error,0,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,0,,
XRPUSDT,XRP-USDT-SWAP,ok,90,ok,720,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
XTZUSDT,XTZ-USDT-SWAP,ok,90,ok,720,error,200,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,200,2026-05-18 07:00:00+00:00,2026-05-26 14:00:00+00:00
ZECUSDT,ZEC-USDT-SWAP,error,0,error,700,error,400,ok,1,0,,,700,2026-04-27 11:00:00+00:00,2026-05-26 14:00:00+00:00,400,2026-05-09 23:00:00+00:00,2026-05-26 14:00:00+00:00
ZENUSDT,ZEN-USDT-SWAP,ok,180,error,300,ok,720,error,0,180,2026-04-26 16:00:00+00:00,2026-05-26 12:00:00+00:00,300,2026-05-14 03:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
ZILUSDT,ZIL-USDT-SWAP,ok,180,error,0,ok,720,error,0,180,2026-04-26 16:00:00+00:00,2026-05-26 12:00:00+00:00,0,,,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
ZRXUSDT,ZRX-USDT-SWAP,ok,180,ok,720,ok,720,error,0,180,2026-04-26 16:00:00+00:00,2026-05-26 12:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
