cell_id,generated,unique_expr,simplified_unique,unique_expr_ratio,simplified_unique_ratio,zero_activity_predicted,zero_activity_predicted_share,unsupported_operator_count,may_dependency_count,liquidity_volatility_motif_share,feature_family_combo_count,operator_motif_count,horizon_class_count,engine_mix_count
C0000,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0001,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0002,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0003,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0004,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0005,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0006,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0007,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0008,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0009,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0010,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0011,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0012,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0013,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0014,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0015,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0016,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0017,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0018,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0019,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0020,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0021,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0022,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0023,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0024,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0025,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0026,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0027,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0028,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0029,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0030,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0031,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0032,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0033,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0034,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0035,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0036,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0037,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0038,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0039,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0040,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0041,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0042,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0043,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0044,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0045,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0046,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0047,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0048,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0049,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0050,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0051,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0052,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0053,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0054,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0055,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0056,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0057,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0058,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0059,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0060,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0061,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0062,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0063,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0064,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0065,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0066,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0067,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0068,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0069,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0070,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0071,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0072,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0073,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0074,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0075,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0076,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0077,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0078,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0079,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0080,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0081,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0082,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0083,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0084,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0085,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0086,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0087,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0088,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0089,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0090,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0091,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0092,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0093,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0094,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0095,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0096,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0097,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0098,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0099,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0100,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0101,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0102,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0103,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0104,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0105,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0106,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0107,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0108,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0109,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0110,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0111,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0112,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0113,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0114,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0115,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0116,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0117,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0118,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0119,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
