queue,rows,file
blueprint_pool,20599,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7ff24r_dry_generation_plan\a7ff24r_blueprint_pool.csv
materialization_queue,3000,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7ff24r_dry_generation_plan\a7ff24r_materialization_queue.csv
company_numeric_wave_queue,2400,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\runtime\a7ff24r_dry_generation_plan\a7ff24r_company_numeric_wave_queue.csv
