blueprint_id,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,modifier_guard_required,skeleton_key,production_key,in_materialization_queue,in_company_numeric_wave_queue,company_shard,expression
a7ff24r_547c0ff8380f3778,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_8h,,False,skel_1926552988410ac0,prod_a3ee3a912fefe9f3,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,8)))"
a7ff24r_7f71b2e363dddbd6,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_168h,,False,skel_1926552988410ac0,prod_61aca5d227f3189b,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,168)))"
a7ff24r_d7ef0776f1dae5df,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_24h,,False,skel_1926552988410ac0,prod_3664462569ffbfaa,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,24)))"
a7ff24r_e582d2a2908a95d8,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_72h,,False,skel_1926552988410ac0,prod_be956025e620a820,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,72)))"
a7ff24r_1313bae0f47d683a,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_168h,,False,skel_1d39996e97d5ace0,prod_730be53f74caec91,True,True,shard_00,"Mean(mark_index_basis_bps,168)"
a7ff24r_1c3b5e472e010cc0,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_4h,,False,skel_1d39996e97d5ace0,prod_bf17218cf6a6b69f,True,True,shard_00,"Mean(mark_index_basis_bps,4)"
a7ff24r_3c18085739c75d99,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,decay_168h,,False,skel_1d39996e97d5ace0,prod_76ff3cbb495ee057,True,True,shard_00,"Decay(mark_index_basis_bps,168)"
a7ff24r_49df8a5d77c3bce5,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_24h,,False,skel_1d39996e97d5ace0,prod_57ea525df6de513b,True,True,shard_00,"Mean(mark_index_basis_bps,24)"
a7ff24r_57e00327a34e91e3,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_24h,,False,skel_1d39996e97d5ace0,prod_6b5cfa223e66ae24,True,True,shard_00,"Delta(mark_index_basis_bps,24)"
a7ff24r_5e3756c09dd9800d,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_1h,,False,skel_1d39996e97d5ace0,prod_36e2cc64db2b930c,True,True,shard_00,"Mean(mark_index_basis_bps,1)"
a7ff24r_6511aa6092778791,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_2h,,False,skel_1d39996e97d5ace0,prod_50bdc8bbcffbffb4,True,True,shard_00,"Mean(mark_index_basis_bps,2)"
a7ff24r_6a8e4e33dbe4b09c,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_168h,,False,skel_1d39996e97d5ace0,prod_bf743c47201eac8f,True,True,shard_00,"Delta(mark_index_basis_bps,168)"
a7ff24r_6b9e4107d4ce11d4,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_4h,,False,skel_1d39996e97d5ace0,prod_2e65a589d9d12580,True,True,shard_00,"Delta(mark_index_basis_bps,4)"
a7ff24r_858ff2210f276fcf,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_12h,,False,skel_1d39996e97d5ace0,prod_b35e184f3abd0abb,True,True,shard_00,"Delta(mark_index_basis_bps,12)"
a7ff24r_8bf0eefef7542ccd,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_1h,,False,skel_1d39996e97d5ace0,prod_e48a6a3c8b617f48,True,True,shard_00,"Delta(mark_index_basis_bps,1)"
a7ff24r_8ee65f030b52e93f,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,decay_24h,,False,skel_1d39996e97d5ace0,prod_91f2d0a1e37a54e8,True,True,shard_00,"Decay(mark_index_basis_bps,24)"
a7ff24r_a39fead768620491,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_336h,,False,skel_1d39996e97d5ace0,prod_215162d7a144a014,True,True,shard_00,"Mean(mark_index_basis_bps,336)"
a7ff24r_acdf1de7772e8224,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_336h,,False,skel_1d39996e97d5ace0,prod_6e02108b85d35043,True,True,shard_00,"Delta(mark_index_basis_bps,336)"
a7ff24r_ba91531e12984292,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_8h,,False,skel_1d39996e97d5ace0,prod_2538cce5a70ba1ae,True,True,shard_00,"Mean(mark_index_basis_bps,8)"
