base_field,semantic_type,seed_route,transform_name,formula_count,materialization_count,company_wave_count,levels,motifs,semantic_pairs,side
premium_abs_168h,basis_premium_like,modifier_only_seed,zmean_1h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_abs_168h,basis_premium_like,modifier_only_seed,zmean_24h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_abs_168h,basis_premium_like,modifier_only_seed,zmean_2h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_abs_168h,basis_premium_like,modifier_only_seed,zmean_4h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_abs_168h,basis_premium_like,modifier_only_seed,zmean_8h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_close,basis_premium_like,modifier_only_seed,delta_1h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
premium_count,basis_premium_like,modifier_only_seed,zmean_12h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_count,basis_premium_like,modifier_only_seed,zmean_1h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_count,basis_premium_like,modifier_only_seed,zmean_24h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_count,basis_premium_like,modifier_only_seed,zmean_2h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_count,basis_premium_like,modifier_only_seed,zmean_4h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_count,basis_premium_like,modifier_only_seed,zmean_8h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_high,basis_premium_like,modifier_only_seed,zmean_12h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
