field,usage_rows
mark_index_basis_bps,1303
account_position_divergence,1292
open_interest_value_change_24h,1282
premium_close_bps,1275
top_long_short_account_ratio_last,1261
premium_abs_168h,1243
open_interest_change_24h,1240
taker_buy_sell_volume_ratio_mean,1237
mark_trade_basis_bps,1236
open_interest_value_last,1236
global_long_short_account_ratio_mean,1222
open_interest_last,1220
open_interest_mean,1219
basis_abs_168h,1212
top_long_short_account_ratio_mean,1212
top_global_account_divergence,1212
top_long_short_position_ratio_mean,1210
global_long_short_account_ratio_last,1193
taker_buy_sell_volume_ratio_last,1186
top_long_short_position_ratio_last,1176
leverage_crowding_state,779
liquidity_cycle_state,761
age_x_volatility,749
basis_dislocation_state,747
sqrt_listing_age_days,735
log1p_listing_age_days,733
stress_proxy_state,730
listing_age_days,728
market_breadth_state,727
age_percentile_active_universe,719
rolling_coverage_168h,693
