target_shard,queue_rows
a7raw0_s000,512
a7raw0_s001,512
a7raw0_s002,512
a7raw0_s003,512
a7raw0_s004,512
a7raw0_s005,512
a7raw0_s006,512
a7raw0_s007,512
a7raw0_s008,512
a7raw0_s009,512
a7raw0_s010,512
a7raw0_s011,512
a7raw0_s012,512
a7raw0_s013,512
a7raw0_s014,512
a7raw0_s015,512
a7raw0_s016,512
a7raw0_s017,512
a7raw0_s018,512
a7raw0_s019,512
a7raw0_s020,512
a7raw0_s021,512
a7raw0_s022,512
a7raw0_s023,512
a7raw0_s024,512
a7raw0_s025,512
a7raw0_s026,512
a7raw0_s027,512
a7raw0_s028,512
a7raw0_s029,512
a7raw0_s030,512
a7raw0_s031,512
