semantic_bucket,motif_bucket,candidate_count,median_cost_adjusted_spread,median_control_ratio,clean_candidate_count,shard_id
liquidity_like,single,3,-0.0014899589728103,3.5572054376641944,0,0
liquidity_like|volatility_like,liquidity_shock,2,0.0093259531831413,1.8522682591332973,0,0
taker_flow_like|open_interest_like,flow_x_leverage,2,-0.0017927600147521,4.585794727369174,0,0
open_interest_like|positioning_like,delta_x_divergence,1,-0.0009026726034263,13.581677633844002,0,0
liquidity_like|volatility_like,liquidity_shock,4,-0.0006252645182913,1.805116250637953,0,1
taker_flow_like|basis_premium_like,gated_sign,2,-0.0002249561949049,1.7598564783356367,0,1
open_interest_like|positioning_like,delta_x_divergence,1,0.0024214942570424,1.2671455729211398,0,1
taker_flow_like|open_interest_like,flow_x_leverage,1,-0.0009082123690572,1.4313214614467686,0,1
liquidity_like|volatility_like,liquidity_shock,2,-0.0006810796142945,1.5646352301283968,0,2
open_interest_like|positioning_like,delta_x_divergence,2,-0.0006678065450987,2.466537315943224,0,2
taker_flow_like|basis_premium_like,gated_sign,2,-0.000477232298917,2.153651170590453,0,2
taker_flow_like|open_interest_like,flow_x_leverage,2,-0.0131069482706656,1.4763944354789618,0,2
taker_flow_like|basis_premium_like,gated_sign,3,0.0003542678157855,1.799195213390953,0,3
liquidity_like|volatility_like,liquidity_shock,2,-0.0003893650305582,1.778635383526607,0,3
liquidity_like,single,1,-0.0008968706693773,3.0752048767224376,0,3
open_interest_like|positioning_like,delta_x_divergence,1,-0.0005034508829739,11.277267093631291,0,3
taker_flow_like|open_interest_like,flow_x_leverage,1,-0.000799920654417,3.01539856661843,0,3
liquidity_like,single,2,-0.0006699279853524,1.70627175831057,0,4
open_interest_like|positioning_like,delta_x_divergence,2,6.566862361644414e-05,9.607503237897248,0,4
liquidity_like|volatility_like,liquidity_shock,1,-0.0007150765067029,0.8474489253689438,0,4
open_interest_like,single,1,-0.000374439647721,3.952204605527999,0,4
taker_flow_like|basis_premium_like,gated_sign,1,-0.000346648232336,2.7327359356177428,0,4
taker_flow_like|open_interest_like,flow_x_leverage,1,0.0027694716266112,3.7047705118819847,0,4
liquidity_like|volatility_like,liquidity_shock,3,-0.0006618074138208,1.3059290377268258,0,5
taker_flow_like|basis_premium_like,gated_sign,3,-0.0004170622619,2.999335319414392,0,5
taker_flow_like|open_interest_like,flow_x_leverage,2,-0.0005756198754458,3.79772343993868,0,5
open_interest_like|positioning_like,delta_x_divergence,3,-0.0003274803191547,2.70846865201515,0,6
liquidity_like|volatility_like,liquidity_shock,2,-0.0010199499284509,1.8127433671365056,0,6
taker_flow_like|basis_premium_like,gated_sign,2,0.0042353337911323,3.3343740530166013,0,6
liquidity_like,single,1,-0.0008871711163994,5.04794850897545,0,6
taker_flow_like|open_interest_like,flow_x_leverage,3,-0.0004273354698558,2.5705758115001824,0,7
liquidity_like,single,2,-0.0419707707700929,2.9647285789418265,0,7
open_interest_like|positioning_like,delta_x_divergence,2,-0.0001335147667356,2.306365883254017,0,7
liquidity_like|volatility_like,liquidity_shock,1,0.0151585846925868,1.4243987703167704,0,7
liquidity_like|volatility_like,liquidity_shock,2,-0.001266237484611,1.7164020712524977,0,8
open_interest_like|positioning_like,delta_x_divergence,2,-0.000772300040837,3.560328635774816,0,8
taker_flow_like|basis_premium_like,gated_sign,2,-0.0003726004374145,5.065086803149544,0,8
liquidity_like,single,1,-0.0007111179827719,3.1380887462273983,0,8
taker_flow_like|open_interest_like,flow_x_leverage,1,-0.0072068195567591,1.816073636039274,0,8
taker_flow_like|basis_premium_like,gated_sign,2,-0.0001005125552253,2.6745726049383114,1,9
liquidity_like|volatility_like,liquidity_shock,2,0.0076839031879052,2.078898089495985,0,9
open_interest_like|positioning_like,delta_x_divergence,2,-0.0003353998070163,2.050330593165492,0,9
liquidity_like,single,1,-0.0010179661360385,6.257669844209284,0,9
open_interest_like,single,1,-0.0138622771240732,8.737031004467232,0,9
taker_flow_like|basis_premium_like,gated_sign,2,-0.0004673464662443,7.300424743939784,0,10
taker_flow_like|open_interest_like,flow_x_leverage,2,0.003873590382524,4.31853396396258,0,10
liquidity_like,single,1,-0.0009377744379671,7.708653179818525,0,10
liquidity_like|volatility_like,liquidity_shock,1,0.0154992041193111,1.922371979427301,0,10
open_interest_like,single,1,-0.0008183211677637,2.400473158662842,0,10
open_interest_like|positioning_like,delta_x_divergence,1,-0.0008357343590375,6.15773592999525,0,10
taker_flow_like|open_interest_like,flow_x_leverage,4,-0.0007839527968562,2.337102623762475,0,11
liquidity_like,single,2,-0.001440003656875,4.208199989824888,0,11
open_interest_like,single,1,-0.0006101850021256,3.09129613552519,0,11
open_interest_like|positioning_like,delta_x_divergence,1,-0.0005242123958659,1.4524744247556771,0,11
open_interest_like|positioning_like,delta_x_divergence,4,-7.819230985218347e-05,3.3048592664354386,0,12
liquidity_like,single,3,-0.0008202782840006,5.0746405559851295,0,12
taker_flow_like|open_interest_like,flow_x_leverage,1,-0.0238988851083823,1.5771040268673333,0,12
liquidity_like,single,3,-0.001748196769373,6.755439101917639,0,13
taker_flow_like|open_interest_like,flow_x_leverage,2,-0.0002922085890968,2.319370158308018,0,13
liquidity_like|volatility_like,liquidity_shock,1,0.0104251374132697,2.0330664898456843,0,13
open_interest_like|positioning_like,delta_x_divergence,1,-0.0002994444319138,0.5957501232543834,0,13
taker_flow_like|basis_premium_like,gated_sign,1,-0.0321485749162245,0.7951779747607083,0,13
taker_flow_like|basis_premium_like,gated_sign,3,-0.0001529589983362,4.8728047274999655,0,14
liquidity_like,single,1,-0.0008803947412304,4.374136820449517,0,14
liquidity_like|volatility_like,liquidity_shock,1,-0.0005834941677445,1.519093198426557,0,14
open_interest_like,single,1,-0.0587928731213302,0.8546682797074947,0,14
open_interest_like|positioning_like,delta_x_divergence,1,-0.0005192319714642,4.000748002711986,0,14
taker_flow_like|open_interest_like,flow_x_leverage,1,-0.0096253625946673,0.79620288339786,0,14
liquidity_like,single,2,-0.0061971473206716,6.009644006392412,0,15
taker_flow_like|basis_premium_like,gated_sign,2,-0.0001806204458655,2.270749217015981,0,15
taker_flow_like|open_interest_like,flow_x_leverage,2,-0.0091917641658832,1.907336851143646,0,15
liquidity_like|volatility_like,liquidity_shock,1,0.0001834305007426,1.2606597770122685,0,15
open_interest_like|positioning_like,delta_x_divergence,1,-0.0002186333610886,1.2700434047664906,0,15
