authorizes_alpha_proof,authorizes_core15_contract,authorizes_search,authorizes_shadow_paper_live,blockers,candidate_count,clean_rule,controls,decision,eval_error_count,executes_replay,executes_search,generated_at,next_allowed,raw_core14e_decision,replay_clean_candidate_count,replay_clean_motif_bucket_count,replay_clean_semantic_bucket_count,replay_rows,sample_rows,sample_timestamp_count,shard_count,shard_id,source_decision,source_stage,stage
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T05:58:31Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,0,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:12:38Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,1,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:12:54Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,2,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:12:06Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,3,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:24:56Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,4,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:25:04Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,5,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:19:57Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,6,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:33:58Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,7,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:37:03Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,8,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:37:06Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,1,1,1,96,511589,1536,16,9,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:44:56Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,10,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:42:14Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,11,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:42:19Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,12,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:48:00Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,13,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:52:39Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,14,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
False,False,False,False,"['clean_candidate_count_lt_24', 'clean_semantic_bucket_count_lt_4', 'clean_motif_bucket_count_lt_4']",8,validation and recent both positive at 5bps with max non-signflip control_ratio < 1.0,"['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'same_family_placebo']",PASS_A7FFCORE14SEE_SHARD_REPLAY_COMPLETE,0,True,False,2026-06-01T06:54:36Z,A7FF-CORE14R replay failure forensic,HOLD_A7FFCORE14E_BOUNDED_REPLAY_INSUFFICIENT,0,0,0,96,511589,1536,16,15,PASS_A7FFCORE14SE_REPAIRED_PACKET_READY_FOR_BOUNDED_REPLAY,A7FF-CORE14SE,A7FF-CORE14SEE-SHARD
