interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_premium_close_bps_zscore_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_premium_close_bps_zscore_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,premium_close_bps,basis_premium,tsrank_168h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_premium_close_bps_tsrank_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,premium_close_bps,basis_premium,tsrank_168h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_premium_close_bps_tsrank_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,premium_close_bps,basis_premium,shock_24h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_premium_close_bps_shock_24h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,premium_close_bps,basis_premium,shock_24h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_premium_close_bps_shock_24h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_mark_index_basis_bps_zscore_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_mark_index_basis_bps_zscore_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_mark_index_basis_bps_tsrank_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_mark_index_basis_bps_tsrank_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,shock_24h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_mark_index_basis_bps_shock_24h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,shock_24h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_mark_index_basis_bps_shock_24h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_Mul_mark_trade_basis_bps_zscore_168h
I5_liquidity_state_x_basis_or_positioning,trade_quote_volume,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I5_liquidity_state_x_basis_or_positioning_trade_quote_volume_SafeDiv_mark_trade_basis_bps_zscore_168h
