symbol,rows,raw_event_coverage,state_8h_coverage,state_24h_coverage,first_timestamp,last_timestamp,state8_over_raw_lift,state24_over_raw_lift
0GUSDT,6010,0.4499168053244592,0.9006655574043261,0.9033277870216306,2025-09-17 15:00:00,2026-05-26,2.0018491124260356,2.0077662721893494
1000000BOBUSDT,8513,0.23235052272994244,0.9299894279337484,0.93186890637848,2025-06-05 08:00:00,2026-05-26,4.00252780586451,4.01061678463094
1000000MOGUSDT,13549,0.2388368145250572,0.9557162890250203,0.9568971879843531,2024-11-07 12:00:00,2026-05-26,4.0015451174289245,4.006489493201483
1000BONKUSDT,21025,0.2428537455410226,0.971652794292509,0.9724137931034482,2024-01-01 00:00:00,2026-05-26,4.000979240109675,4.0041128084606346
1000CATUSDT,13957,0.23916314394210791,0.9570108189438992,0.9581571971053952,2024-10-21 12:00:00,2026-05-26,4.00149790293589,4.006291192330737
1000CHEEMSUSDT,13118,0.23852721451440767,0.9544900137216039,0.955709711846318,2024-11-25 11:00:00,2026-05-26,4.001597954618089,4.006711409395973
1000FLOKIUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
1000LUNCUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
1000PEPEUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
1000RATSUSDT,21025,0.2428537455410226,0.971652794292509,0.9724137931034482,2024-01-01 00:00:00,2026-05-26,4.000979240109675,4.0041128084606346
1000SATSUSDT,21025,0.2428537455410226,0.971652794292509,0.9724137931034482,2024-01-01 00:00:00,2026-05-26,4.000979240109675,4.0041128084606346
1000SHIBUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
1000XECUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
1INCHUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
1MBABYDOGEUSDT,14798,0.23982970671712395,0.9596567103662658,0.9607379375591296,2024-09-16 11:00:00,2026-05-26,4.001408847562693,4.005917159763314
2ZUSDT,5653,0.22342119228728108,0.8945692552626924,0.8973996108261101,2025-10-02 12:00:00,2026-05-26,4.003958828186857,4.016627078384799
4USDT,5510,0.22268602540834845,0.8916515426497278,0.8945553539019964,2025-10-08 11:00:00,2026-05-26,4.004074979625102,4.017114914425428
AAVEUSDT,21025,0.1214268727705113,0.9714625445897741,0.9722235434007135,2024-01-01 00:00:00,2026-05-26,8.00039169604387,8.00665883274579
