epoch,panel_id,mechanism_id,lane_id,admission_policy,unit,group_type,all_strict,positive_gross,positive_gross_lcb_proxy,positive_net,positive_net_lcb,stable_worst_block,benchmark_incremental,survivor,gross_mean_median,gross_lcb_proxy_median,ic_mean_median,ic_lcb_median,turnover_mean_median,cost_drag_mean_median,net_mean_median,net_lcb_median,worst_block_median,stability_median,concentration_median,benchmark_increment_lcb_median,gross_lcb_method
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,ALL,ALL,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,ALL,768,408,22,13,4,4,0,0,1.7593060861306272e-06,-4.669544798932669e-05,0.0014331581124201,-0.0054324048422178,0.0624867063361612,3.124335316808065e-05,-3.2043980808728165e-05,-8.037791666576309e-05,-7.737997292259249e-05,0.724406779390325,0.153977466674373,-2.631031541277707e-05,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,bbo_micro,ALL,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL,24,23,6,6,4,4,0,0,3.679903785685689e-05,-4.891075385802263e-05,0.02312064855062355,0.0057144143094236,0.07373979273688275,3.68698963684414e-05,8.119884008202467e-06,-8.099054603344128e-05,8.119884008202463e-06,1.0,0.1662983341951444,-0.00014678227549855,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,ALL,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL,744,385,16,7,0,0,0,0,8.937261709223891e-07,-4.669422795141927e-05,0.0010874683475519,-0.0056748487305498,0.0615025354900778,3.0751267745038947e-05,-3.2381265099273114e-05,-8.037791666576309e-05,-7.908738110471884e-05,0.7178811847366864,0.1538122701502707,-2.4917332676218684e-05,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,bbo_micro,liquidity_top_level,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,24,23,6,6,4,4,0,0,3.679903785685689e-05,-4.891075385802263e-05,0.02312064855062355,0.0057144143094236,0.07373979273688275,3.68698963684414e-05,8.119884008202467e-06,-8.099054603344128e-05,8.119884008202463e-06,1.0,0.1662983341951444,-0.00014678227549855,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,basis_dislocation_convergence,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,157,95,7,2,0,0,0,0,5.705013827872048e-06,-4.113351602629934e-05,0.0011392272132395,-0.0060360541202955,0.1638001623046198,8.19000811523099e-05,-7.735102789649457e-05,-0.0001300561669861,-0.0001382025494985,0.7020637654876088,0.1545768565533092,-7.054719656399082e-05,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,cross_asset_confirmation,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,123,51,2,0,0,0,0,0,-5.151755031737759e-06,-6.285523757210653e-05,0.0001355467146975,-0.0072336794882991,0.2070712073334129,0.0001035356036667,-0.0001363667979474,-0.0001863321278056,-0.0002008588875191,0.7111824249915875,0.1550085617771278,-0.0001222807596222,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,funding_dynamics,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,1,0,0,0,0,0,0,0,-2.18500904316942e-05,-6.571887174812186e-05,-0.0006679378945205,-0.0071640302917401,0.0768982701367562,3.844913506837813e-05,-6.0299225500072296e-05,-0.0001041680068165,-8.393459974455922e-05,0.8411412609794232,0.153731681686248,-4.5631385763734586e-05,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,mark_index_deviation,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,15,8,0,0,0,0,0,0,8.937261709223891e-07,-4.20546346533964e-05,-0.0022037999837704,-0.0086113484068651,0.0518368352566427,2.5918417628321355e-05,-2.134809192718196e-05,-6.797305228171775e-05,-7.737997292259249e-05,0.7234712716241953,0.1544653918006495,-9.79147757082764e-06,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,oi_inventory,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,114,17,0,0,0,0,0,0,-2.8798487917271287e-06,-4.87830660954234e-05,0.0214502487939139,0.0144378631018919,0.01800473342078095,9.00236671039049e-06,-1.168515769279129e-05,-5.760259193892261e-05,-5.012935635943849e-05,0.6983857985018658,0.1527777777777778,2.359956254298011e-06,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
EPOCH2B_HYBRID_REPORT_ONLY_REPLAY,main,orthogonal_exile,ALL,ALL,UNIQUE_EXACT_REPORT_ONLY,PANEL_MECHANISM,28,19,1,1,0,0,0,0,9.525966559583794e-06,-3.791723145677158e-05,0.0005836922221748499,-0.005773762520670149,0.0724577676616531,3.622888383082655e-05,-3.220893522407375e-05,-8.278139148152616e-05,-8.805163257640909e-05,0.7410326609203945,0.15510265991563316,-1.7849155919357616e-05,SUMMARY_PROXY_NET_LCB_PLUS_MEAN_COST_DRAG
