epoch,panel_id,gate,all_exact,failed,failure_rate
EPOCH0,bbo_micro,HARD_GATE,160,43,0.26875
EPOCH0,bbo_micro,IC_LCB,160,144,0.9
EPOCH0,bbo_micro,GROSS_LCB_PROXY,160,154,0.9625
EPOCH0,bbo_micro,NET_LCB,160,158,0.9875
EPOCH0,bbo_micro,WORST_BLOCK,160,6,0.0375
EPOCH0,bbo_micro,BENCHMARK_INCREMENT,160,159,0.99375
EPOCH0,main,HARD_GATE,1596,462,0.2894736842105263
EPOCH0,main,IC_LCB,1596,1497,0.9379699248120301
EPOCH0,main,GROSS_LCB_PROXY,1596,1549,0.9705513784461153
EPOCH0,main,NET_LCB,1596,1595,0.9993734335839599
EPOCH0,main,WORST_BLOCK,1596,28,0.017543859649122806
EPOCH0,main,BENCHMARK_INCREMENT,1596,1568,0.9824561403508771
EPOCH1R,bbo_micro,HARD_GATE,142,1,0.007042253521126761
EPOCH1R,bbo_micro,IC_LCB,142,122,0.8591549295774648
EPOCH1R,bbo_micro,GROSS_LCB_PROXY,142,136,0.9577464788732394
EPOCH1R,bbo_micro,NET_LCB,142,141,0.9929577464788732
EPOCH1R,bbo_micro,WORST_BLOCK,142,0,0.0
EPOCH1R,bbo_micro,BENCHMARK_INCREMENT,142,142,1.0
EPOCH1R,main,HARD_GATE,1362,36,0.02643171806167401
EPOCH1R,main,IC_LCB,1362,1249,0.9170337738619677
EPOCH1R,main,GROSS_LCB_PROXY,1362,1320,0.9691629955947136
EPOCH1R,main,NET_LCB,1362,1361,0.9992657856093979
EPOCH1R,main,WORST_BLOCK,1362,3,0.0022026431718061676
EPOCH1R,main,BENCHMARK_INCREMENT,1362,1167,0.8568281938325991
EPOCH2,bbo_micro,HARD_GATE,40,0,0.0
EPOCH2,bbo_micro,IC_LCB,40,12,0.3
EPOCH2,bbo_micro,GROSS_LCB_PROXY,40,31,0.775
EPOCH2,bbo_micro,NET_LCB,40,35,0.875
EPOCH2,bbo_micro,WORST_BLOCK,40,0,0.0
EPOCH2,bbo_micro,BENCHMARK_INCREMENT,40,40,1.0
EPOCH2,main,HARD_GATE,1448,183,0.12638121546961326
EPOCH2,main,IC_LCB,1448,1179,0.8142265193370166
EPOCH2,main,GROSS_LCB_PROXY,1448,1407,0.9716850828729282
EPOCH2,main,NET_LCB,1448,1448,1.0
EPOCH2,main,WORST_BLOCK,1448,13,0.008977900552486187
EPOCH2,main,BENCHMARK_INCREMENT,1448,1103,0.7617403314917127
