candidate_id,production_family,expression,horizon,validation_net10,recent_net10,recent_net20,may_net10,max_control_validation_net10,max_control_recent_net10,dominates_controls,control_val_recent_positive_count,a7x3_label,derived_feature_id,source_fields,transform,paired_ablation_plan
a7x3_F0_slow_aggtrades_horizon_24_16ebdf68839d,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_accel_4h_vs_24h,12,48)",24,0.2635357351163058,-4.523232568247168,-5.349732568247169,0.36615199688267047,-0.22556752384853718,2.8702325682471668,0,0,A7X3_HOLD_RAW_VAL_RECENT_FAIL,horizon_spread,agg_flow_accel_4h_vs_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_44f6877c820f,F0_slow_aggtrades_horizon,"HorizonSpread(agg_cross_symbol_signed_flow_share,12,48)",24,-5.275702733356805,-2.256324771314312,-3.133824771314313,0.029205185618591645,4.200702733356804,0.5013247713143109,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_cross_symbol_signed_flow_share,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_4777f848567d,F0_slow_aggtrades_horizon,"HorizonSpread(agg_notional_sum_24h,12,48)",24,-3.0801963128108607,2.422425690193358,2.14342569019336,-0.5732385832245961,3.850857743380753,2.899181846025929,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_notional_sum_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_74306c8674cc,F0_slow_aggtrades_horizon,"HorizonSpread(agg_buy_notional_share,12,48)",24,-2.6589456971615935,-6.071997586962748,-7.491497586962749,0.3100329701488066,0.907945697161592,3.2329975869627465,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_buy_notional_share,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_8b7b85eebb38,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_minus_ethusdt_4h,12,48)",24,2.289047834798577,4.244064049852078,3.431564049852076,-0.2470630239647803,0.8752940732897174,-0.4786611682037685,1,0,A7X3_NEAR_MISS_MAY_STRESS_FAIL,horizon_spread,agg_flow_minus_ethusdt_4h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_8c929afeca56,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_imbalance_notional,12,48)",24,-2.6589456971615935,-6.071997586962748,-7.491497586962749,0.3100329701488066,0.907945697161592,3.2329975869627465,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_flow_imbalance_notional,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_b820df62f45e,F0_slow_aggtrades_horizon,"HorizonSpread(agg_large_notional_sum_24h,12,48)",24,-2.2953416567822034,0.3376401303487364,0.0486401303487366,-0.6777719393694251,7.9991364477173725,2.0928196687129796,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_large_notional_sum_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_d177e27d482b,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_minus_btcusdt_4h,12,48)",24,2.289047834798577,4.244064049852078,3.431564049852076,-0.2470630239647803,0.8752940732897174,-0.4786611682037685,1,0,A7X3_NEAR_MISS_MAY_STRESS_FAIL,horizon_spread,agg_flow_minus_btcusdt_4h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_e05ecea323e6,F0_slow_aggtrades_horizon,"HorizonSpread(agg_large_notional_share_4h,12,48)",24,-1.3185142197730628,-0.9672011802910967,-1.5822011802910971,-0.11065168887977705,0.9865055751618752,-0.2627988197089044,0,0,A7X3_HOLD_RAW_VAL_RECENT_FAIL,horizon_spread,agg_large_notional_share_4h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
a7x3_F0_slow_aggtrades_horizon_24_f78e99b34bc7,F0_slow_aggtrades_horizon,"HorizonSpread(agg_avg_trade_notional_24h,12,48)",24,0.4559169726751624,-1.4578528278658447,-1.7558528278658456,-0.15296593306525536,-0.8109169726751619,0.8618528278658439,0,0,A7X3_HOLD_RAW_VAL_RECENT_FAIL,horizon_spread,agg_avg_trade_notional_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls
