candidate_id,expression,horizon,max_abs_net_diff,max_abs_turnover_diff,max_abs_gross_exposure_diff,parity_pass
a7x3_F0_slow_aggtrades_horizon_24_f78e99b34bc7,"HorizonSpread(agg_avg_trade_notional_24h,12,48)",24,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_48_1c2c7eed8cfc,"HorizonSpread(agg_avg_trade_notional_24h,12,48)",48,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_24_74306c8674cc,"HorizonSpread(agg_buy_notional_share,12,48)",24,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_48_b5311d81eaf8,"HorizonSpread(agg_buy_notional_share,12,48)",48,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_24_44f6877c820f,"HorizonSpread(agg_cross_symbol_signed_flow_share,12,48)",24,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_48_f99a5c2b74a2,"HorizonSpread(agg_cross_symbol_signed_flow_share,12,48)",48,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_24_16ebdf68839d,"HorizonSpread(agg_flow_accel_4h_vs_24h,12,48)",24,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_48_75dc2ca72e3f,"HorizonSpread(agg_flow_accel_4h_vs_24h,12,48)",48,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_24_8c929afeca56,"HorizonSpread(agg_flow_imbalance_notional,12,48)",24,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_48_f22f5a1e2343,"HorizonSpread(agg_flow_imbalance_notional,12,48)",48,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_24_d177e27d482b,"HorizonSpread(agg_flow_minus_btcusdt_4h,12,48)",24,0.0,0.0,0.0,True
a7x3_F0_slow_aggtrades_horizon_48_ece175f3b91d,"HorizonSpread(agg_flow_minus_btcusdt_4h,12,48)",48,0.0,0.0,0.0,True
