interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Sub_trade_return_1h_spread_short_long
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,SafeDiv,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_SafeDiv_trade_return_1h_spread_short_long
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,delta_24h,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_delta_24h
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,delta_24h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Sub_trade_return_1h_delta_24h
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,delta_24h,SafeDiv,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_SafeDiv_trade_return_1h_delta_24h
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_zscore_168h
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Sub_trade_return_1h_zscore_168h
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,zscore_168h,SafeDiv,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_SafeDiv_trade_return_1h_zscore_168h
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_24h_spread_short_long
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Sub_trade_return_24h_spread_short_long
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_24h,price_return,spread_short_long,SafeDiv,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_SafeDiv_trade_return_24h_spread_short_long
