provider,dataset,ready,total,ready_rate,history_depth,proof_role,decision,symbols
binance,basis_1h_recent,9,12,0.75,recent_window,recent_context_only,HOLD_COVERAGE_INCOMPLETE_OR_SYMBOL_MAPPING,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
binance,current_open_interest,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
binance,orderbook_depth_20,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
binance,premium_index,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
bybit,current_ticker_oi_funding,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
bybit,funding_rate_history,12,12,1.0,recent_history,recent_context_or_backfill_if_window_documented,RECENT_CONTEXT_ONLY_UNTIL_RETENTION_CONTRACT,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
bybit,open_interest_1h_recent,12,12,1.0,recent_history,recent_context_or_backfill_if_window_documented,RECENT_CONTEXT_ONLY_UNTIL_RETENTION_CONTRACT,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
bybit,orderbook_depth_50,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
okx,current_open_interest,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
okx,funding_rate_current,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
okx,funding_rate_history,12,12,1.0,recent_history,recent_context_or_backfill_if_window_documented,RECENT_CONTEXT_ONLY_UNTIL_RETENTION_CONTRACT,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
okx,liquidation_orders_probe,12,12,1.0,recent_history_window_unknown,recent_context_or_forward_observation_until_contract_documented,CONTRACT_REQUIRED_RECENT_LIQUIDATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
okx,orderbook_depth_20,12,12,1.0,snapshot_only,forward_observation,FORWARD_OBSERVATION_ONLY,"ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SOLUSDT,SUIUSDT,XRPUSDT"
