interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,delta_4h,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_1h_delta_4h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,delta_4h,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_1h_delta_4h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,delta_24h,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_1h_delta_24h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,delta_24h,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_1h_delta_24h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,zscore_168h,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_1h_zscore_168h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,zscore_168h,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_1h_zscore_168h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_1h_spread_short_long
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_1h,price_return,spread_short_long,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_1h_spread_short_long
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,delta_4h,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_24h_delta_4h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,delta_4h,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_24h_delta_4h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,delta_24h,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_24h_delta_24h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,delta_24h,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_24h_delta_24h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,zscore_168h,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_24h_zscore_168h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,zscore_168h,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_24h_zscore_168h
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,spread_short_long,Mul,core16ge_I0_OI_delta_x_price_move_open_interest_last_Mul_trade_return_24h_spread_short_long
I0_OI_delta_x_price_move,open_interest_last,open_interest,trade_return_24h,price_return,spread_short_long,SafeDiv,core16ge_I0_OI_delta_x_price_move_open_interest_last_SafeDiv_trade_return_24h_spread_short_long
