blueprint_count,decision,full_timestamps_before_subset,generated_at,interaction_family,missing_fields_excluded,near_miss_count,probe_candidate_count,response_rows,stage,symbols_loaded,timestamps
48,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:36:05Z,I0_OI_delta_x_price_move,[],0,0,768,A7FF-CORE16GE-INTERACTION,96,3481
54,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:36:27Z,I1_OI_delta_x_funding_abs,[],0,0,864,A7FF-CORE16GE-INTERACTION,96,3481
120,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:42:19Z,I2_OI_delta_x_basis_premium_dislocation,[],1,0,1920,A7FF-CORE16GE-INTERACTION,96,3481
189,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:52:51Z,I3_positioning_divergence_x_price_or_basis,[],47,34,3024,A7FF-CORE16GE-INTERACTION,96,3481
112,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:46:53Z,I4_taker_flow_x_OI_or_liquidity,[],10,0,1792,A7FF-CORE16GE-INTERACTION,96,3481
192,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:58:31Z,I5_liquidity_state_x_basis_or_positioning,[],26,50,3072,A7FF-CORE16GE-INTERACTION,96,3481
96,PASS_A7FFCORE16GE_INTERACTION_SHARD_COMPLETE,21025,2026-06-01T09:55:52Z,I6_volatility_state_x_basis_or_OI,[],0,0,1536,A7FF-CORE16GE-INTERACTION,96,3481
