"stage","shard","offset","limit","process_id","runtime","report","out_log","err_log","script","launched_at"
"A7FF-12S04","04","360","90","23436","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_numeric_probe_shard_04","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF12S04_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s04.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s04.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\run_a7ff12s04.ps1","2026-05-30T11:53:37.3966580+08:00"
"A7FF-12S05","05","450","90","15484","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_numeric_probe_shard_05","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF12S05_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s05.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s05.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\run_a7ff12s05.ps1","2026-05-30T11:53:37.4116972+08:00"
"A7FF-12S06","06","540","90","16432","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_numeric_probe_shard_06","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF12S06_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s06.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s06.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\run_a7ff12s06.ps1","2026-05-30T11:59:07.7181125+08:00"
"A7FF-12S07","07","630","90","23204","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_numeric_probe_shard_07","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF12S07_COMPANY_NUMERIC_PROBE_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s07.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\a7ff12s07.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff12_company_parallel\run_a7ff12s07.ps1","2026-05-30T11:59:07.7271121+08:00"
