decision,label_family,count
A7FF38_NUMERIC_CLUE,L0_raw_forward_return,24
A7FF38_NUMERIC_CLUE,L1_cross_sectional_relative_return,23
A7FF38_NUMERIC_CLUE,L3_liquidity_tier_relative_return,26
A7FF38_NUMERIC_CLUE,L5_vol_adjusted_return,15
A7FF38_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,72
HOLD_A7FF38_CONTROL_DOMINATED,L0_raw_forward_return,264
HOLD_A7FF38_CONTROL_DOMINATED,L1_cross_sectional_relative_return,262
HOLD_A7FF38_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,276
HOLD_A7FF38_CONTROL_DOMINATED,L5_vol_adjusted_return,335
HOLD_A7FF38_CONTROL_DOMINATED,L7_ranked_future_return,427
HOLD_A7FF38_COST2_PROXY_FRAGILE,L0_raw_forward_return,3
HOLD_A7FF38_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,6
HOLD_A7FF38_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,2
HOLD_A7FF38_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,4
HOLD_A7FF38_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,4
HOLD_A7FF38_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,10
HOLD_A7FF38_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,24
HOLD_A7FF38_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,43
HOLD_A7FF38_PRE_MAY_UNSTABLE,L0_raw_forward_return,1037
HOLD_A7FF38_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1037
HOLD_A7FF38_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1018
HOLD_A7FF38_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,958
HOLD_A7FF38_PRE_MAY_UNSTABLE,L7_ranked_future_return,790
