hard_reject_reason,count
oos_nonoverlap_floor_not_positive,2004
oos_net_mean_not_all_positive,1834
oos_control_dominated,1829
oos_lag_stale_dominated,1825
stress_floor_not_positive,1481
recent_sortino_non_positive,908
train_orientation_no_positive_edge,682
shuffle_control_dominated_recent,654
oos_shuffle_dominated,394
non_finite_diagnostic_composite,120
