month,rows,active_assets,role
2023-07,101514,140,TRAIN
2023-08,106495,145,TRAIN
2023-09,104732,147,TRAIN
2023-10,111140,155,TRAIN
2023-11,116587,169,TRAIN
2023-12,128122,176,TRAIN
2024-01,132715,183,TRAIN
2024-02,129812,190,TRAIN
2024-03,144868,197,TRAIN
2024-04,144710,203,TRAIN
2024-05,151879,206,TRAIN
2024-06,149935,211,TRAIN
2024-07,157118,212,TRAIN
2024-08,160248,221,TRAIN
2024-09,162067,230,TRAIN
2024-10,173623,238,TRAIN
2024-11,176319,252,TRAIN
2024-12,197255,276,TRAIN
