a7ff30_queue_rank,blueprint_id,expression,semantic_pair,motif,skeleton_key,best_label_family,best_label_horizon_h,min_control_ratio,max_control_ratio,finite_share,nonzero_share,warning_flags,portfolio_replay_allowed,weight_policy,search_allowed
1,a7ff24r_858ff2210f276fcf,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,skel_1d39996e97d5ace0,L5_vol_adjusted_return,1,0.2378122862593981,0.7819075601681075,0.9962654409652398,0.9989676728670018,basis_premium_root|extreme_value_to_std_ratio_gt_100,True,equal_candidate_weight_only,False
2,a7ff24r_650915032f2a5979,"Mul(Delta(mark_index_basis_bps,12),Sign(realized_vol_24h))",basis_premium_like|volatility_like,gated_sign,skel_136259b72205469f,L5_vol_adjusted_return,1,0.2728766985130318,0.7819075601681075,0.8239011778224649,0.9989193000300516,basis_premium_root|extreme_value_to_std_ratio_gt_100,True,equal_candidate_weight_only,False
3,a7ff24r_bcc3435cf539d883,"Sub(mark_index_basis_bps,Mean(premium_close_bps,12))",basis_premium_like|basis_premium_like,sub,skel_f8484b844efd270f,L3_liquidity_tier_relative_return,1,0.1508674481286142,0.208748129764244,0.9965527147371444,0.9993167582168184,basis_premium_root|extreme_value_to_std_ratio_gt_100,True,equal_candidate_weight_only,False
4,a7ff24r_389e925b81a0c645,"Mean(Mul(Delta(mark_index_basis_bps,1),realized_vol_168h),4)",basis_premium_like|volatility_like,smooth_mul,skel_8184698cb7b24c02,L5_vol_adjusted_return,8,0.6120477019308964,0.762822317506444,0.8261993679977018,0.9999097119234048,basis_premium_root|extreme_value_to_std_ratio_gt_100,True,equal_candidate_weight_only,False
5,a7ff24r_c223ee324263786f,"SafeDiv(premium_close_bps,Abs(realized_vol_168h))",basis_premium_like|volatility_like,safe_div_abs,skel_d9d4f69744bac825,L5_vol_adjusted_return,1,0.7212882306454783,0.7212882306454783,0.8273484630853203,0.6751937538367097,basis_premium_root|safe_div_outlier_risk,True,equal_candidate_weight_only,False
6,a7ff24r_145e2d58adad4f4a,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(premium_close_bps,12))))",basis_premium_like|basis_premium_like,safe_div_abs,skel_c80f62c274b367a9,L1_cross_sectional_relative_return,1,0.2263905120289567,0.3128577762237416,0.9965527147371444,0.9893356946848886,basis_premium_root|safe_div_outlier_risk|extreme_value_to_std_ratio_gt_100,True,equal_candidate_weight_only,False
