field,canonical_field,route,dependencies,dependency_status,in_a7aif3_field_matrix,contract_status,formula_usage_count,is_system_required,example_expression
account_position_divergence,account_position_divergence,derived_dep_generated,top_long_short_account_ratio_last;top_long_short_position_ratio_last,deps_resolved,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,362,False,"Sub(CSRank(Decay(mark_trade_basis_bps,2)),CSRank(ZScore(Mean(account_position_divergence,168))))"
age_percentile_active_universe,age_percentile_active_universe,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,18,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(age_percentile_active_universe))"
age_x_volatility,age_x_volatility,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,303,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Decay(age_x_volatility,24))"
basis_abs_168h,basis_abs_168h,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,212,False,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))"
basis_dislocation_state,R5_basis_premium_dislocation_state,upper_alias,,not_applicable,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,79,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(basis_dislocation_state,336)))"
global_long_short_account_ratio_last,global_long_short_account_ratio_last,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,319,False,"SafeDiv(Delta(mark_trade_basis_bps,48),Abs(Delta(global_long_short_account_ratio_last,6)))"
global_long_short_account_ratio_mean,global_long_short_account_ratio_mean,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,263,False,"Mul(Sub(CSRank(Clip(ZScore(mark_index_basis_bps),-3,3)),CSRank(CSRank(global_long_short_account_ratio_mean))),Sign(CSRank(global_long_short_account_ratio_mean)))"
leverage_crowding_state,R4_leverage_crowding_state,upper_alias,,not_applicable,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,66,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(leverage_crowding_state,8)))"
liquidity_cycle_state,R3_liquidity_cycle_state,upper_alias,,not_applicable,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,103,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(liquidity_cycle_state,72)))"
listing_age_days,listing_age_days,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,28,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Mean(listing_age_days,336))"
log1p_listing_age_days,log1p_listing_age_days,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,18,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(log1p_listing_age_days))"
mark_index_basis_bps,mark_index_basis_bps,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,718,False,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,504)),CSRank(Mean(top_long_short_account_ratio_last,48))),Sign(Mean(top_long_short_account_ratio_last,48)))"
mark_trade_basis_bps,mark_trade_basis_bps,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,345,False,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,16)),CSRank(Abs(ZScore(Mean(top_long_short_position_ratio_last,8))))),Sign(Abs(ZScore(Mean(top_long_short_position_ratio_last,8)))))"
market_breadth_state,R2_market_breadth_state,upper_alias,,not_applicable,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,94,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(market_breadth_state,336)))"
oi_x_price_move_24h,oi_x_price_move_24h,latent_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,5,False,"Mean(Mul(Mean(oi_x_price_move_24h,3),Delta(top_long_short_position_ratio_last,4)),4)"
open_interest_change_24h,open_interest_change_24h,latent_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,37,False,"SafeDiv(Abs(ZScore(Mean(open_interest_change_24h,168))),Abs(Decay(account_position_divergence,24)))"
open_interest_last,open_interest_last,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,38,False,"SafeDiv(Abs(ZScore(Mean(open_interest_last,12))),Abs(Decay(account_position_divergence,120)))"
open_interest_mean,open_interest_mean,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,60,False,"Mean(Mul(Mean(open_interest_mean,3),Delta(top_long_short_position_ratio_last,4)),4)"
open_interest_value_change_24h,open_interest_value_change_24h,derived_dep_generated,open_interest_value_last,deps_resolved,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,5,False,"Mean(Mul(Mean(open_interest_value_change_24h,3),Delta(top_long_short_position_ratio_last,4)),4)"
open_interest_value_last,open_interest_value_last,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,37,False,"SafeDiv(ZScore(Mean(open_interest_value_last,4)),Abs(Mean(account_position_divergence,24)))"
open_interest_value_mean,open_interest_value_mean,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,5,False,"Mean(Mul(Mean(open_interest_value_mean,3),Delta(top_long_short_position_ratio_last,4)),4)"
premium_abs_168h,premium_abs_168h,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,68,False,"Sub(CSRank(Abs(ZScore(Mean(premium_abs_168h,48)))),CSRank(Mean(top_long_short_position_ratio_last,6)))"
premium_abs_state,premium_abs_state,derived_dep_generated,premium_close_bps,deps_resolved,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,58,False,"Sub(CSRank(CSRank(premium_abs_state)),CSRank(TSRank(top_long_short_position_ratio_mean,16)))"
premium_close_bps,premium_close_bps,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,484,False,"SafeDiv(TSRank(premium_close_bps,8),Abs(ZScore(Mean(global_long_short_account_ratio_mean,120))))"
realized_vol_168h,realized_vol_168h,latent_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,0,True,
rolling_coverage_168h,rolling_coverage_168h,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,113,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(rolling_coverage_168h,4)))"
sqrt_listing_age_days,sqrt_listing_age_days,latent_schema,,not_applicable,False,OK_SCHEMA_DIRECT_NOT_IN_A7AIF3,8,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(sqrt_listing_age_days))"
stress_proxy_state,R10_stress_proxy_state,upper_alias,,not_applicable,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,113,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(stress_proxy_state,72)))"
taker_buy_sell_volume_ratio_last,taker_buy_sell_volume_ratio_last,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,722,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Decay(age_x_volatility,24))"
taker_buy_sell_volume_ratio_mean,taker_buy_sell_volume_ratio_mean,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,42,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Decay(age_x_volatility,24))"
top_global_account_divergence,top_global_account_divergence,derived_dep_generated,global_long_short_account_ratio_last;top_long_short_account_ratio_last,deps_resolved,False,RESOLVED_BY_RUNNER_EXTENSION_NEEDS_REGISTRY_BACKFILL,104,False,"SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence)))"
top_long_short_account_ratio_last,top_long_short_account_ratio_last,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,328,False,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,504)),CSRank(Mean(top_long_short_account_ratio_last,48))),Sign(Mean(top_long_short_account_ratio_last,48)))"
top_long_short_account_ratio_mean,top_long_short_account_ratio_mean,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,236,False,"Sub(CSRank(TSRank(mark_index_basis_bps,240)),CSRank(ZScore(Mean(top_long_short_account_ratio_mean,36))))"
top_long_short_position_ratio_last,top_long_short_position_ratio_last,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,223,False,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,16)),CSRank(Abs(ZScore(Mean(top_long_short_position_ratio_last,8))))),Sign(Abs(ZScore(Mean(top_long_short_position_ratio_last,8)))))"
top_long_short_position_ratio_mean,top_long_short_position_ratio_mean,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,333,False,"Sub(CSRank(TSRank(mark_trade_basis_bps,36)),CSRank(Abs(ZScore(Mean(top_long_short_position_ratio_mean,36)))))"
trade_close,trade_close,base_schema,,not_applicable,True,OK_IN_A7AIF3_CONTRACT,0,True,
