symbol,pre2024_first_observed_timestamp,pre2024_last_observed_timestamp,pre2024_rows_1h,pre2024_months,main_first_observed_timestamp,main_last_observed_timestamp,main_rows_1h,combined_first_observed_timestamp,listing_age_source
1000BONKUSDT,2023-11-22 14:00:00+00:00,2023-12-31 23:59:00+00:00,946,2,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-11-22 14:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000FLOKIUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000LUNCUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000PEPEUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000RATSUSDT,2023-12-15 14:00:00+00:00,2023-12-31 23:59:00+00:00,394,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-15 14:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000SATSUSDT,2023-12-12 14:00:00+00:00,2023-12-31 23:59:00+00:00,466,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-12 14:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000SHIBUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000XECUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1INCHUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
AAVEUSDT,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ACEUSDT,2023-12-18 10:00:00+00:00,2023-12-31 23:59:00+00:00,326,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-18 10:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
