age_bucket,rows,symbols,min_timestamp,max_timestamp
age_180_365d,12960,135,2023-12-28 00:00:00+00:00,2023-12-31 23:00:00+00:00
age_30_90d,224711,169,2023-07-31 00:00:00+00:00,2023-12-31 23:00:00+00:00
age_90_180d,306830,147,2023-09-29 00:00:00+00:00,2023-12-31 23:00:00+00:00
age_lt_30d,124089,176,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00
