symbol,rows_1h,min_timestamp,max_timestamp,age_days_min,age_days_max,active_universe_size_median,pre2024_first_observed_timestamp,pre2024_last_observed_timestamp,pre2024_rows_1h,pre2024_months,main_first_observed_timestamp,main_last_observed_timestamp,main_rows_1h,combined_first_observed_timestamp,listing_age_source
1000BONKUSDT,946,2023-11-22 14:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,39.375,170.0,2023-11-22 14:00:00+00:00,2023-12-31 23:59:00+00:00,946,2,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-11-22 14:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000FLOKIUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000LUNCUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000PEPEUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000RATSUSDT,394,2023-12-15 14:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,16.375,174.0,2023-12-15 14:00:00+00:00,2023-12-31 23:59:00+00:00,394,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-15 14:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000SATSUSDT,466,2023-12-12 14:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,19.375,174.0,2023-12-12 14:00:00+00:00,2023-12-31 23:59:00+00:00,466,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-12 14:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000SHIBUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1000XECUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
1INCHUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
AAVEUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ACEUSDT,326,2023-12-18 10:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,13.541666666666666,174.0,2023-12-18 10:00:00+00:00,2023-12-31 23:59:00+00:00,326,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-18 10:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ACHUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ADAUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
AGLDUSDT,3742,2023-07-29 02:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,155.85416666666666,148.0,2023-07-29 02:30:00+00:00,2023-12-31 23:59:00+00:00,3742,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-29 02:30:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ALGOUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ALICEUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ANKRUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
APEUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
API3USDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
APTUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ARBUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ARKMUSDT,3766,2023-07-28 02:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,156.84375,148.0,2023-07-28 02:45:00+00:00,2023-12-31 23:59:00+00:00,3766,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-28 02:45:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ARKUSDT,2480,2023-09-19 16:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,103.28958333333333,160.0,2023-09-19 16:03:00+00:00,2023-12-31 23:59:00+00:00,2480,4,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-09-19 16:03:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ARPAUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ARUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ASTRUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ATOMUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
AUCTIONUSDT,395,2023-12-15 13:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,16.416666666666668,174.0,2023-12-15 13:00:00+00:00,2023-12-31 23:59:00+00:00,395,1,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-12-15 13:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
AVAXUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
AXSUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BANDUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BATUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BCHUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BEAMXUSDT,1067,2023-11-17 13:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,44.395833333333336,170.0,2023-11-17 13:30:00+00:00,2023-12-31 23:59:00+00:00,1067,2,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-11-17 13:30:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BELUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BICOUSDT,2268,2023-09-28 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,94.4375,161.0,2023-09-28 12:30:00+00:00,2023-12-31 23:59:00+00:00,2268,4,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-09-28 12:30:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BIGTIMEUSDT,1930,2023-10-12 14:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,80.35416666666667,163.0,2023-10-12 14:30:00+00:00,2023-12-31 23:59:00+00:00,1930,3,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-10-12 14:30:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BLURUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BNBUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BNTUSDT,3444,2023-08-10 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,143.45833333333334,150.0,2023-08-10 12:00:00+00:00,2023-12-31 23:59:00+00:00,3444,5,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-08-10 12:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BSVUSDT,1740,2023-10-20 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,72.4375,165.0,2023-10-20 12:30:00+00:00,2023-12-31 23:59:00+00:00,1740,3,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-10-20 12:30:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
BTCUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
C98USDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
