candidate_id,family_id,label_family,horizon_h,variant,split,n_dates,avg_n_obs,mean_spread,spread_tstat,nonoverlap_median_tstat,nonoverlap_min_tstat,positive_rate
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,original,train_2024,719,96.0,-0.07269508512337093,-9.424357982121402,-9.424357982121402,-9.424357982121402,0.3588317107093185
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,original,validation_2025H1,719,96.0,-0.04138855925680073,-5.828584491638501,-5.828584491638501,-5.828584491638501,0.3810848400556328
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,original,test_2025H2,719,96.0,-0.061590888040383866,-9.313300191045903,-9.313300191045903,-9.313300191045903,0.34492350486787204
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,original,recent_oos_2026JanApr,719,96.0,-0.07081091170972952,-10.603270120559912,-10.603270120559912,-10.603270120559912,0.3337969401947149
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,original,known_may2026_stress,598,96.0,-0.046730829933954936,-6.1392921839638275,-6.1392921839638275,-6.1392921839638275,0.4230769230769231
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,one_bar_lag,train_2024,718,96.0,-0.028432164319612086,-3.859859918151232,-3.859859918151232,-3.859859918151232,0.4415041782729805
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,one_bar_lag,validation_2025H1,719,96.0,-0.0186534957245145,-2.7805694035302455,-2.7805694035302455,-2.7805694035302455,0.4575799721835883
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,one_bar_lag,test_2025H2,719,96.0,-0.02213077789236082,-3.3458766118055623,-3.3458766118055623,-3.3458766118055623,0.4422809457579972
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,one_bar_lag,recent_oos_2026JanApr,719,96.0,-0.02162746974442906,-3.352961053997589,-3.352961053997589,-3.352961053997589,0.4631432545201669
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,one_bar_lag,known_may2026_stress,598,96.0,-0.011547465844340842,-1.7091370082500623,-1.7091370082500623,-1.7091370082500623,0.45819397993311034
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_future_1h,train_2024,719,96.0,0.9010344228094576,124385.99999999916,124385.99999999916,124385.99999999916,1.0
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_future_1h,validation_2025H1,719,96.0,0.900976471951785,23969.964893232976,23969.964893232976,23969.964893232976,1.0
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_future_1h,test_2025H2,719,96.0,0.9008967895224851,11566.923667520019,11566.923667520019,11566.923667520019,1.0
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_future_1h,recent_oos_2026JanApr,719,96.0,0.900895340751043,17669.341073113144,17669.341073113144,17669.341073113144,1.0
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_future_1h,known_may2026_stress,599,96.0,0.9009981914301615,34592.12392672927,34592.12392672927,34592.12392672927,1.0
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_stale_24h,train_2024,695,96.0,-0.008715027977617907,-1.2424569675244017,-1.2424569675244017,-1.2424569675244017,0.46618705035971225
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_stale_24h,validation_2025H1,719,96.0,0.014555689603499063,2.2538905552822266,2.2538905552822266,2.2538905552822266,0.5201668984700973
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_stale_24h,test_2025H2,719,96.0,-0.005781093299021843,-0.9561345855954063,-0.9561345855954063,-0.9561345855954063,0.47983310152990266
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_stale_24h,recent_oos_2026JanApr,719,96.0,0.0033319543832191593,0.5391289148584671,0.5391289148584671,0.5391289148584671,0.5229485396383866
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,wrong_lag_stale_24h,known_may2026_stress,598,96.0,-0.0007882616578268798,-0.11469163811308736,-0.11469163811308736,-0.11469163811308736,0.5
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,time_shuffle,train_2024,719,95.9346314325452,-0.0041170060011332605,-0.839479526627459,-0.839479526627459,-0.839479526627459,0.48956884561891517
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,time_shuffle,validation_2025H1,719,95.94019471488178,-0.005178392056869109,-1.0200636743092886,-1.0200636743092886,-1.0200636743092886,0.5076495132127955
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,time_shuffle,test_2025H2,719,95.95688456189151,-0.003718352392726522,-0.7597491347700454,-0.7597491347700454,-0.7597491347700454,0.4812239221140473
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,time_shuffle,recent_oos_2026JanApr,719,95.95132127955493,0.00460813951990934,0.9276570996801323,0.9276570996801323,0.9276570996801323,0.5173852573018081
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,time_shuffle,known_may2026_stress,599,95.9398998330551,-0.0003812295183330236,-0.06776279333422848,-0.06776279333422848,-0.06776279333422848,0.4941569282136895
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,symbol_shuffle,train_2024,719,96.0,-0.004306956034615978,-0.9056188761871253,-0.9056188761871253,-0.9056188761871253,0.47844228094575797
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,symbol_shuffle,validation_2025H1,719,96.0,-0.0018623023963557682,-0.367200527409609,-0.367200527409609,-0.367200527409609,0.49791376912378305
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,symbol_shuffle,test_2025H2,719,96.0,0.006792513082716492,1.3145987009225673,1.3145987009225673,1.3145987009225673,0.5229485396383866
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,symbol_shuffle,recent_oos_2026JanApr,719,96.0,0.001992602755380921,0.39245606835386454,0.39245606835386454,0.39245606835386454,0.5132127955493742
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,symbol_shuffle,known_may2026_stress,598,96.0,-0.0061993876192245785,-1.1421315975997164,-1.1421315975997164,-1.1421315975997164,0.47491638795986624
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,same_family_random,train_2024,719,96.0,-0.0011204637356410662,-0.2300099392842029,-0.2300099392842029,-0.2300099392842029,0.5048678720445062
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,same_family_random,validation_2025H1,719,96.0,-0.0023049148766290622,-0.45767949299803556,-0.45767949299803556,-0.45767949299803556,0.4993045897079277
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,same_family_random,test_2025H2,719,96.0,0.007514133570287952,1.4454212662550316,1.4454212662550316,1.4454212662550316,0.5187760778859527
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,same_family_random,recent_oos_2026JanApr,719,96.0,-0.0006259497501674133,-0.12830685388348761,-0.12830685388348761,-0.12830685388348761,0.5146036161335188
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,1,same_family_random,known_may2026_stress,599,96.0,0.006968887188524085,1.2586307165798685,1.2586307165798685,1.2586307165798685,0.5091819699499165
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,original,train_2024,716,96.0,-0.06394578936478378,-8.253004860821566,-4.031310083728995,-5.926566131835422,0.38687150837988826
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,original,validation_2025H1,716,96.0,-0.04961885167727085,-6.952524750367033,-3.4962535296663195,-4.024514820438065,0.40083798882681565
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,original,test_2025H2,716,96.0,-0.05845430431400666,-8.916281280980192,-4.2744993923599015,-5.6971821105432605,0.3840782122905028
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,original,recent_oos_2026JanApr,716,96.0,-0.05493701807096535,-8.356521793521543,-4.50085539419676,-4.942908043883266,0.3854748603351955
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,original,known_may2026_stress,595,96.0,-0.043278332166199814,-6.135422130340564,-3.0448778593524457,-3.39334817609954,0.38823529411764707
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,one_bar_lag,train_2024,715,96.0,-0.02914481351981352,-3.7417639045950093,-1.843723693193065,-3.0083947066085313,0.45034965034965035
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,one_bar_lag,validation_2025H1,716,96.0,-0.033460687090880875,-4.7856824384729935,-2.4745553503601068,-2.824919317202864,0.4259776536312849
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,one_bar_lag,test_2025H2,716,96.0,-0.02358675674350866,-3.5710137256524916,-1.5582398382065201,-2.6650407965331615,0.4594972067039106
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,one_bar_lag,recent_oos_2026JanApr,716,96.0,-0.020828723791145226,-3.049805793932666,-1.6708253128850745,-2.039747644687139,0.4650837988826816
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,L7_ranked_future_return,4,one_bar_lag,known_may2026_stress,595,96.0,-0.01913946228744023,-2.787108910786177,-1.197405189218216,-2.485653803599337,0.43025210084033616
