raw_latent_state_id,neighbor_state_id,response_cosine_similarity,same_age_bucket,same_liquidity_state,same_volatility_state
lv_4ec6957e53,lv_12fe23ccd7,0.921444103075606,True,False,True
lv_4ec6957e53,lv_fd823dbade,0.6755552501042692,True,True,True
lv_4ec6957e53,lv_dbcfc4ac24,0.6554674495335391,True,True,True
lv_4ec6957e53,lv_ff73f4b914,0.6424097289324145,True,True,False
lv_4ec6957e53,lv_6c581ab375,0.5858508715914021,False,True,True
lv_8326775b3e,lv_6c581ab375,0.8686655005966049,False,True,True
lv_8326775b3e,lv_cde4f27dfc,0.8330605947807102,False,True,True
lv_8326775b3e,lv_00510d5b35,0.8303694290016339,False,True,True
lv_8326775b3e,lv_937ea0833b,0.8283592065360994,True,True,True
lv_8326775b3e,lv_e31e381c83,0.7411454354474742,True,True,False
lv_ff73f4b914,lv_e2ff4b210d,0.7621144988662619,True,True,True
lv_ff73f4b914,lv_0a84bf23ad,0.7573839225126284,True,False,True
lv_ff73f4b914,lv_fd823dbade,0.7302677821238442,True,True,False
lv_ff73f4b914,lv_4b159564c7,0.71206360114331,True,True,True
lv_ff73f4b914,lv_4ec6957e53,0.6424097289324145,True,True,False
lv_7553b9a623,lv_e86c865960,0.740912947485196,True,True,True
lv_7553b9a623,lv_4b3f9f9ec5,0.6087134524248932,False,True,True
lv_7553b9a623,lv_eb465cc404,0.5948753372046017,True,False,True
lv_7553b9a623,lv_1083ea2d53,0.5654043549124981,True,False,True
lv_7553b9a623,lv_9b315c2b7c,0.5295209761233091,True,False,False
lv_9f1ab41e4d,lv_465a3e381d,0.6369371286416424,False,True,True
lv_9f1ab41e4d,lv_9c7069e440,0.606744506320102,True,True,True
lv_9f1ab41e4d,lv_36cbe89323,0.580229043902918,False,True,True
lv_9f1ab41e4d,lv_99a8f68ad4,0.5423178567730061,False,True,True
lv_9f1ab41e4d,lv_2161eeb8a0,0.5274077211448595,False,True,True
lv_2fdbf42dff,lv_7dd2a8c62a,0.8640698718488405,False,True,True
lv_2fdbf42dff,lv_0bb87ba9f4,0.8569569257319122,True,False,True
lv_2fdbf42dff,lv_5cff5dfa54,0.815511854345727,False,True,True
lv_2fdbf42dff,lv_2240e20986,0.7434453580688866,True,True,True
lv_2fdbf42dff,lv_519b0cb5df,0.7259928667803445,False,False,True
lv_0bb87ba9f4,lv_2fdbf42dff,0.8569569257319122,True,False,True
lv_0bb87ba9f4,lv_519b0cb5df,0.8088352834480236,False,True,True
