source_run,reason,count,share_of_selected
A7I1B_original_generator,raw_may_severely_negative,171,0.6705882352941176
A7I1B_original_generator,residual_funding_may_negative,146,0.5725490196078431
A7I1B_original_generator,raw_recent_nonpositive,139,0.5450980392156862
A7I1B_original_generator,raw_validation_nonpositive,124,0.48627450980392156
A7I1B_original_generator,cost20_recent_collapse,92,0.3607843137254902
A7I1B_original_generator,placebo_arm,64,0.25098039215686274
A7I1B_original_generator,execution_lag_recent_collapse,30,0.11764705882352941
A7I1B_original_generator,residual_funding_recent_nonpositive,22,0.08627450980392157
A7I1B_original_generator,residual_core4_recent_nonpositive,22,0.08627450980392157
A7I1B_original_generator,residual_funding_validation_nonpositive,20,0.0784313725490196
A7I1B_original_generator,funding_beta_too_high,6,0.023529411764705882
A7I1B_original_generator,core4_beta_too_high,5,0.0196078431372549
A7J2_reranked_original_pool,may_stress_severe_fail,139,0.54296875
A7J2_reranked_original_pool,cost20_recent_negative,122,0.4765625
A7J2_reranked_original_pool,may_residual_funding_negative,119,0.46484375
A7J2_reranked_original_pool,lag1_recent_negative,89,0.34765625
A7J2_reranked_original_pool,raw_recent_nonpositive,84,0.328125
A7J2_reranked_original_pool,raw_validation_nonpositive,71,0.27734375
A7J2_reranked_original_pool,placebo_arm,64,0.25
A7J2_reranked_original_pool,raw_validation_insufficient_gross_exposure,52,0.203125
A7J2_reranked_original_pool,raw_recent_insufficient_gross_exposure,52,0.203125
A7J2_reranked_original_pool,funding_beta_too_high,6,0.0234375
A7J2_reranked_original_pool,core4_beta_too_high,5,0.01953125
A7J2_reranked_original_pool,residual_funding_validation_nonpositive,3,0.01171875
A7J2_reranked_original_pool,residual_funding_recent_nonpositive,3,0.01171875
A7J2_reranked_original_pool,residual_core4_recent_nonpositive,3,0.01171875
A7J2_reranked_original_pool,may_stress_material_fail,1,0.00390625
A7K2_new_space,may_stress_severe_fail,64,1.0
A7K2_new_space,may_residual_funding_negative,64,1.0
