a7ls20_rank,blueprint_id,semantic_pair,motif,label_family,label_horizon_h,control_ratio_premay_max,cost10_recent_oriented,one_bar_lag_recent_oriented,robust_min_tstat_floor,split_tstat_floor,split_positive_rate_floor,a7ls20_deep_score,expression
1,a7ls15_54ad1703758fd224,basis_premium_like|listing_age_like,signed_spread,L5_vol_adjusted_return,4,0.5534878505940402,1.4633265033720886,0.8854062610178723,-0.2088642069780445,1.8871275343398752,0.4918032786885246,2521.6396034416157,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,336)),CSRank(Delta(age_percentile_active_universe,8))),Sign(Delta(age_percentile_active_universe,8)))"
2,a7ls15_204d2b4357f56b5a,taker_flow_like,single,L5_vol_adjusted_return,24,0.7649578942981492,0.9944466213721946,1.003398082252633,1.6726446042597416,-8.98194178215412,0.3994252873563218,1924.9455666304993,"Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)))"
3,a7ls15_6dde8445b9dc0331,basis_premium_like|listing_age_like,state_gate,L5_vol_adjusted_return,8,0.7806943002761827,0.6891505254121353,0.5053402470602881,1.761276434198896,-2.710422407058296,0.3617021276595745,1262.8957627578436,"Mul(Delta(mark_index_basis_bps,2),Sign(Mean(Delta(age_percentile_active_universe,24),24)))"
4,a7ls15_6b338a109f660b8c,basis_premium_like|liquidity_like,signed_spread,L5_vol_adjusted_return,24,0.7908365016557191,0.6238649236293258,0.634235875060331,1.903572182314631,-9.693522375655354,0.3764367816091954,1205.9662358196115,"Mul(Sub(CSRank(Decay(premium_abs_state,240)),CSRank(ZScore(Mean(trade_volume,12)))),Sign(ZScore(Mean(trade_volume,12))))"
5,a7ls15_3df186f6ef65ad1b,taker_flow_like,sub,L5_vol_adjusted_return,24,0.7188385725868589,0.5122509167660844,0.5111774431709764,2.568742108102204,-7.517446263870907,0.3864942528735632,1081.9686935199647,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,24)),ZScore(Mean(taker_buy_sell_volume_ratio_last,4)))"
6,a7ls15_4dcdc7b425d7a981,taker_flow_like|volatility_like,sub,L5_vol_adjusted_return,24,0.6164475206684039,0.4252040544393219,0.398806363121562,1.5383701930879372,-5.962923670057934,0.396551724137931,904.3170954217729,"Sub(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,16))),Delta(realized_vol_168h,48))"
7,a7ls15_defc4a5a369f820f,basis_premium_like,gated_sign,L5_vol_adjusted_return,8,0.7949533457967767,0.4283996127109011,0.3479932293620381,1.6058293851289498,-6.475050825170055,0.375,818.9537676617769,"Mul(TSRank(mark_index_basis_bps,240),Sign(Decay(mark_trade_basis_bps,504)))"
8,a7ls15_5275f07bf670d712,basis_premium_like|liquidity_like,relative_shock,L5_vol_adjusted_return,24,0.7168068994430205,0.4026376022135369,0.388079816116837,1.6650054959592702,-3.8207246432166,0.4564393939393939,803.2718507217327,"Mul(Delta(Abs(ZScore(Mean(basis_abs_168h,16))),4),ZScore(Delta(trade_volume,168)))"
9,a7ls15_b71e18b57ead6ad9,taker_flow_like|liquidity_like,sub,L5_vol_adjusted_return,24,0.7637161936803757,0.3664773824534013,0.3889169746898284,1.7152118185672265,-9.08058447304079,0.3721264367816091,799.8618021159058,"Sub(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48))),ZScore(Mean(median_quote_volume_168h,72)))"
10,a7ls15_9c1cfb5e02844b76,basis_premium_like,single,L5_vol_adjusted_return,8,0.6196426762880531,0.3882478213379182,0.2474737953713839,2.3257390719032007,-5.507263806737558,0.4115168539325842,767.7805835850181,"Delta(mark_index_basis_bps,12)"
11,a7ls15_ddf2a5a6c7583143,basis_premium_like|listing_age_like,mul,L5_vol_adjusted_return,8,0.6432587345063513,0.3868232532733426,0.2470466166268127,2.3257390719032007,-5.487831088626393,0.4129213483146067,762.6580348203694,"Mul(Delta(mark_index_basis_bps,12),listing_age_days)"
12,a7ls15_113ef02b00ffc25f,basis_premium_like|price_like,mul,L5_vol_adjusted_return,8,0.5308958199231105,0.3044538170576652,0.2021115060506773,2.388983282872982,-5.606962917632103,0.4283707865168539,640.8003652628292,"Mul(TSRank(mark_index_basis_bps,48),Abs(ZScore(Mean(index_close,240))))"
13,a7ls15_02213ddd0b85be23,basis_premium_like,sub,L5_vol_adjusted_return,24,0.665854211578965,0.3168975399164673,0.2034847469069463,2.2503473658544646,-3.71237291287928,0.4353448275862069,640.0820584920916,"Sub(Delta(mark_index_basis_bps,2),ZScore(Mean(premium_abs_168h,72)))"
14,a7ls15_f0887dbb68165e6d,basis_premium_like|liquidity_like,mul,L5_vol_adjusted_return,24,0.6660638129925716,0.3397216768997582,0.2421052170386709,-0.8197442375090176,1.1846544215145196,0.5081723625557206,629.6203590891374,"Mul(TSRank(mark_trade_basis_bps,6),Abs(ZScore(Mean(trade_volume,720))))"
15,a7ls15_21e2eb5bd528cfa5,basis_premium_like,state_gate,L5_vol_adjusted_return,24,0.7983491675324347,0.3332512000441305,0.3000188183712627,-1.465519035053852,2.1213099877472112,0.5,621.28219630615,"Mul(TSRank(mark_index_basis_bps,3),Sign(Mean(ZScore(Mean(premium_abs_168h,36)),24)))"
16,a7ls15_b8e42dcf547ae915,basis_premium_like|price_like,sub,L5_vol_adjusted_return,24,0.556022412063101,0.2946568429324239,0.1795699547381235,2.35138548702088,-3.390572153533636,0.4353640416047548,615.3621761359597,"Sub(Delta(mark_index_basis_bps,2),ZScore(Mean(mark_close,72)))"
17,a7ls15_7355ef8aa37d5217,basis_premium_like,signed_spread,L5_vol_adjusted_return,8,0.6588377127854667,0.3394456006806238,0.1269169699281949,-0.5447100661914761,0.601684507142243,0.5283018867924528,595.5241287523527,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,2)),CSRank(TSRank(mark_index_basis_bps,336))),Sign(TSRank(mark_index_basis_bps,336)))"
18,a7ls15_7d34c860f8f45ca4,basis_premium_like|liquidity_like,sub,L5_vol_adjusted_return,8,0.7127482026351082,0.2861428414365504,0.2803917649573089,0.6509388636905599,1.193063111301896,0.5308988764044944,571.3627307154342,"Sub(ZScore(Mean(premium_abs_168h,36)),Delta(log_quote_volume_168h,96))"
19,a7ls15_6843b56cd44c4d9e,basis_premium_like|price_like,signed_spread,L5_vol_adjusted_return,1,0.2407923138248829,0.1643155365069246,0.045997104581701,8.357959810471323,4.3511652731069725,0.6135057471264368,568.0855614238694,"Mul(Sub(CSRank(TSRank(mark_trade_basis_bps,96)),CSRank(CSRank(trade_return_1h))),Sign(CSRank(trade_return_1h)))"
20,a7ls15_7acc9ae07db7a40b,positioning_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,8,0.73349367608822,0.2653734769322656,0.1716549743214178,2.481129742924353,-4.464200687664469,0.4157303370786517,550.8322164612579,"Sub(CSRank(Delta(top_global_account_divergence,6)),CSRank(Delta(mark_trade_basis_bps,16)))"
21,a7ls15_83b2ec53c58ee01a,listing_age_like|basis_premium_like,mul,L5_vol_adjusted_return,24,0.7840102771262258,0.2795299806389387,0.1704382112692923,1.6477481972351422,-2.454441707252552,0.4482758620689655,544.754895737801,"Mul(ZScore(Mean(listing_age_days,336)),Delta(mark_index_basis_bps,3))"
22,a7ls15_42dc6539d51aca8b,basis_premium_like|positioning_like,mul,L5_vol_adjusted_return,8,0.6839494896987601,0.2992664386951864,0.1460900278078583,0.0408884175750308,0.8078792746545401,0.5268505079825835,538.9909885709627,"Mul(CSRank(mark_trade_basis_bps),Abs(ZScore(Mean(global_long_short_account_ratio_mean,120))))"
23,a7ls15_a03a6be747eccb79,basis_premium_like|positioning_like,mul,L5_vol_adjusted_return,4,0.6709046880749856,0.2430744463476622,0.1195948398006822,2.614648348680676,-5.385550113639635,0.414804469273743,512.6768629216416,"Mul(Delta(mark_index_basis_bps,12),Decay(top_long_short_account_ratio_last,48))"
24,a7ls15_4dc92dc60d615c89,open_interest_like|taker_flow_like,smooth_mul,L5_vol_adjusted_return,24,0.7807876376565606,0.1967966040820995,0.2153468492569809,2.2098436096534626,-3.626597010030346,0.4367816091954023,503.56974698513625,"Mean(Mul(ZScore(Mean(open_interest_value_mean,120)),Clip(ZScore(taker_buy_sell_volume_ratio_last),-3,3)),4)"
25,a7ls15_cb5e75b242622860,basis_premium_like|listing_age_like,gated_sign,L5_vol_adjusted_return,1,0.3279773937949953,0.1419815449822744,0.0427490447688628,6.785881196198102,-8.38330799803483,0.3407510431154381,483.7587961598286,"Mul(TSRank(mark_index_basis_bps,96),Sign(CSRank(log1p_listing_age_days)))"
26,a7ls15_530252b40793410f,basis_premium_like|liquidity_like,safe_div_abs,L5_vol_adjusted_return,8,0.5136299161420836,0.2482370636846145,0.1133267100216598,-0.5452926559801891,0.4438023356023824,0.4724264705882353,472.2043886802276,"SafeDiv(Delta(mark_trade_basis_bps,168),Abs(Abs(ZScore(Mean(trade_quote_volume,24)))))"
27,a7ls15_2c7b31909d6612ec,basis_premium_like|price_like,gated_sign,L5_vol_adjusted_return,8,0.5218197986778011,0.2471027119529156,0.0638973849926837,-0.4836949551981744,0.8612333256723431,0.5259938837920489,454.6830877871646,"Mul(TSRank(mark_trade_basis_bps,36),Sign(Mean(index_close,2)))"
28,a7ls15_d90c7d57fdf5069b,positioning_like|basis_premium_like,sub,L5_vol_adjusted_return,8,0.7196379705131711,0.2456294956240655,0.1457479916598126,-0.1158958654909348,1.575274999846609,0.5294943820224719,453.09244650194836,"Sub(Delta(top_long_short_position_ratio_mean,3),TSRank(mark_index_basis_bps,24))"
29,a7ls15_982c459fa90224ed,positioning_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,1,0.2033391946802019,0.1383610462996418,0.0474320911695814,5.006929760786114,0.8593095094623353,0.502086230876217,450.3403982636855,"Sub(CSRank(top_long_short_account_ratio_last),CSRank(mark_index_basis_bps))"
30,a7ls15_04d0fe57519a6e45,open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,4,0.5950037053759302,0.1333483296900074,0.1159489168352802,2.281597745218804,-4.180181814126521,0.414804469273743,402.85166486557773,"Mean(Mul(Decay(open_interest_mean,16),Delta(top_long_short_position_ratio_mean,4)),4)"
31,a7ls15_78478a819e0cd255,open_interest_like|taker_flow_like,smooth_mul,L5_vol_adjusted_return,4,0.7675018000522847,0.1635317680044279,0.1433237205410778,0.8112624471505744,1.174031123314066,0.4902234636871508,398.7086115414032,"Mean(Mul(Abs(ZScore(Mean(open_interest_value_mean,120))),Abs(ZScore(Mean(kline_taker_buy_quote_share,96)))),4)"
32,a7ls15_4382d4990e40e198,price_like,spread_rank,L5_vol_adjusted_return,8,0.6765586185041822,0.1540716737451139,0.1043245653567704,-0.4279756289393207,1.4252937450312173,0.5203938115330521,363.5412873856959,"Sub(CSRank(Delta(index_close,1)),CSRank(CSRank(trade_return_1h)))"
33,a7ls15_15e77eac9947540d,funding_state_like|liquidity_like,mul,L3_liquidity_tier_relative_return,24,0.8106816262312354,0.0078892711966218,0.0096369960516441,2.07092658586622,-11.605937491100072,0.3017241379310345,221.405693483102,"Mul(Decay(funding_state_x_basis_delta,96),Mean(median_quote_volume_168h,96))"
34,a7ls15_2969ccd90f67db23,taker_flow_like,sub,L0_raw_forward_return,24,0.752182790170816,0.0018600529480779,0.0037033443806277,1.9903998590611016,-4.952223195277733,0.4008620689655172,215.646961602164,"Sub(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,16))),Delta(kline_taker_buy_quote_share,48))"
35,a7ls15_9edb5f77500e18d5,funding_state_like|regime_state,signed_spread,L1_cross_sectional_relative_return,24,0.8646234675080641,0.0102557389655311,0.0116401484696495,1.631513711434501,-7.672496901451957,0.4188405797101449,208.04405620657832,"Mul(Sub(CSRank(ZScore(Mean(funding_rate_state_last_ffill_8h,48))),CSRank(Mean(market_breadth_state,168))),Sign(Mean(market_breadth_state,168)))"
36,a7ls15_ea8481574724f2ec,taker_flow_like,smooth_mul,L1_cross_sectional_relative_return,24,0.7859795511853556,0.000254948366009,0.0024462114523456,1.638523043700567,-8.491499631629843,0.3951149425287356,199.9758363838034,"Mean(Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,36))),Decay(kline_taker_buy_quote_share,4)),4)"
37,a7ls15_c61a2e9324cce6db,volatility_like|liquidity_rank_active_universe|regime_state,seed_mul,L3_liquidity_tier_relative_return,24,0.8848497432546283,0.0040356924075048,0.0059568662718283,1.7264724689055122,-4.984543374028403,0.4058956916099773,196.9355912816335,"Mul(Mul(Delta(realized_vol_72h,168),ZScore(Mean(liquidity_rank_active_universe,168))),Delta(market_breadth_state,24))"
38,a7ls15_2d95ff5c78595504,open_interest_like|taker_flow_like,safe_div_abs,L3_liquidity_tier_relative_return,24,0.8670409053739567,0.0032341378710069,0.0052514825805158,1.5500260253695908,-11.212859387261782,0.3318965517241379,193.26535266465618,"SafeDiv(Clip(ZScore(open_interest_mean),-3,3),Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,336))))"
39,a7ls15_81fdc57942461f08,funding_state_like|open_interest_like,relative_shock,L3_liquidity_tier_relative_return,24,0.7607067746554933,0.0004367708493116,0.0023636507208852,1.1774693803237075,-2.53013106391003,0.4170403587443946,191.75546626501102,"Mul(Delta(TSRank(funding_rate_delta_state_24h,48),4),ZScore(ZScore(Mean(open_interest_mean,6))))"
40,a7ls15_fda4be0acb183aa9,volatility_like|liquidity_rank_active_universe|regime_state,seed_relative_shock,L3_liquidity_tier_relative_return,24,0.6185803663377448,0.0038662921451652,0.0061422806483522,-1.5886133351986629,0.564719922985632,0.5185185185185185,185.79389808538636,"Mul(Delta(Mul(Delta(realized_vol_168h,336),ZScore(Mean(liquidity_rank_active_universe,336))),4),ZScore(Mean(stress_proxy_state,72)))"
41,a7ls15_f93f4cd8598c1688,open_interest_like|positioning_like,state_gate,L1_cross_sectional_relative_return,24,0.5908587282381406,0.0016107890863532,0.0036247980343207,-0.1324856311134195,3.7612048972029752,0.5357142857142857,185.0097169230111,"Mul(Decay(open_interest_last,336),Sign(Mean(ZScore(Mean(top_long_short_position_ratio_mean,2)),24)))"
42,a7ls15_32b786bf6c2f3ba1,open_interest_like|taker_flow_like,mul,L0_raw_forward_return,24,0.6030115560909897,0.001954363486233,0.0039800474911983,-1.1154201115821267,1.1918021898607565,0.5086206896551724,184.16116118969927,"Mul(Abs(ZScore(Mean(open_interest_mean,2))),Mean(taker_buy_sell_volume_ratio_last,4))"
43,a7ls15_8830a89babfbc15d,taker_flow_like|regime_state,state_gate,L1_cross_sectional_relative_return,24,0.8386998012129977,0.00226979804486,0.0037769846880199,1.0841807301917463,-3.8416742942127167,0.4339080459770115,183.15963478171693,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,72))),Sign(Mean(Mean(leverage_crowding_state,336),24)))"
44,a7ls15_2ea731d575cf1f68,listing_age_like|liquidity_like,relative_shock,L0_raw_forward_return,8,0.765698553608045,0.0032075882014094,0.0046428193892114,0.6371636445217592,0.1562082641770865,0.5109489051094891,182.48379424534812,"Mul(Delta(Abs(ZScore(Mean(age_x_volatility,336))),4),ZScore(Decay(trade_volume,16)))"
45,a7ls15_6d1c3e20633d7d88,taker_flow_like|listing_age_like,smooth_mul,L0_raw_forward_return,24,0.8378189991764181,0.0001946666730451,0.0022938009899605,1.0997616566270336,-3.910810060102959,0.425287356321839,180.09808282188507,"Mean(Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,48))),Mean(sqrt_listing_age_days,168)),4)"
46,a7ls15_b22141240b8d5ddd,funding_state_like|positioning_like,mul,L1_cross_sectional_relative_return,4,0.8877553365032449,3.7580290184100005e-05,0.0016185142184862,1.217490655071959,-3.925041406265029,0.4776536312849162,176.56079536072835,"Mul(ZScore(Mean(funding_rate_update_age_hours,96)),Delta(global_long_short_account_ratio_mean,8))"
