semantic_type_v3,operator,tests,candidate_rows,non_l7_candidate_rows,median_control_ratio,min_control_ratio
basis_premium_like,CSRank,45,0,0,2.7668597270707704,0.1150160348143426
basis_premium_like,Delta,45,3,2,9.474061550504691,0.7857862638470471
basis_premium_like,Identity,45,0,0,2.7668597270707704,0.1077748962021696
funding_like,CSRank,27,0,0,3.1178621075969533,0.607008666815867
funding_like,Delta,27,0,0,4.602066092832918,0.878273059267492
funding_like,Identity,27,0,0,3.1178621075969533,0.607008666815867
liquidity_like,CSRank,27,0,0,5.421529328693772,2.140760343626434
liquidity_like,Delta,27,0,0,12.696424218006424,5.191936083459446
liquidity_like,Identity,27,0,0,5.516298528581125,2.140760343626434
positioning_like,CSRank,72,0,0,6.785635578347195,0.6881180489558985
positioning_like,Delta,72,0,0,15.921213930614652,2.226824364953287
positioning_like,Identity,72,0,0,6.785635578347195,1.1123244795652512
price_like,CSRank,18,2,0,12.183592416628825,0.2543170677185504
price_like,Delta,18,0,0,14.185985085731895,1.087603447706207
price_like,Identity,18,2,0,12.183592416628825,0.2543170677185504
state_or_taxonomy,CSRank,9,0,0,5.851936831970822,0.9971229523630204
state_or_taxonomy,Delta,9,0,0,18.6895872891992,2.284915011651152
state_or_taxonomy,Identity,9,0,0,3.6982841459355846,0.9971229523630204
volatility_like,CSRank,18,2,0,6.671388033575323,0.8794980260372742
volatility_like,Delta,18,0,0,23.955684800366,4.830291003916762
volatility_like,Identity,18,2,0,6.671388033575323,0.8794980260372742
