control_id,base_candidate_id,family,control_mode,raw_validation_2025H1_ann_10bps_lag0,raw_recent_2025H2_2026Apr_ann_10bps_lag0,raw_recent_2025H2_2026Apr_sharpe_10bps_lag0
a7ad1_F2_metrics_crowding_oi_interaction_48_c8c698935a31__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_c8c698935a31,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,10.122930714045204,31.90279109002167,10.354025895084838
a7ad1_F2_metrics_crowding_oi_interaction_48_594bcd22578e__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_594bcd22578e,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,23.769284703410356,29.93332794071687,13.612362228275602
a7ad1_F2_metrics_crowding_oi_interaction_48_105456a9a4c3__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_105456a9a4c3,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,10.555933555214052,28.48775723105272,9.552302375796474
a7ad1_F2_metrics_crowding_oi_interaction_48_e286a5ba0381__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_e286a5ba0381,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,10.583739804905967,27.03219915054264,13.368776950553546
a7ad1_F3_cross_symbol_relative_strength_48_c8a1eca0553f__wrong_lag_stale_24h,a7ad1_F3_cross_symbol_relative_strength_48_c8a1eca0553f,F3_cross_symbol_relative_strength,wrong_lag_stale_24h,1.6957362104888207,19.00084247232849,13.52394371434082
a7ad1_F4_volatility_liquidity_capped_48_c644abec893b__sign_flip,a7ad1_F4_volatility_liquidity_capped_48_c644abec893b,F4_volatility_liquidity_capped,sign_flip,7.168381856305312,16.250629766199033,10.60871720121884
a7ad1_F2_metrics_crowding_oi_interaction_48_afc30c00e56f__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_afc30c00e56f,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,14.307316951332345,15.95911752145402,9.41687771570719
a7ad1_F4_volatility_liquidity_capped_48_3aa22e494ac3__wrong_lag_stale_24h,a7ad1_F4_volatility_liquidity_capped_48_3aa22e494ac3,F4_volatility_liquidity_capped,wrong_lag_stale_24h,4.087060923865442,14.530226883812938,9.865620186682769
a7ad1_F2_metrics_crowding_oi_interaction_48_48e6f7e4cc77__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_48e6f7e4cc77,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,9.339689002224558,13.630292570136955,8.844974650018449
a7ad1_F2_metrics_crowding_oi_interaction_48_713d50344766__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_713d50344766,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,5.13793003656565,13.31562504751738,6.29085663609939
a7ad1_F2_metrics_crowding_oi_interaction_48_2305747e3836__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_2305747e3836,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,3.0839050032146056,13.051340806625028,5.88129837601722
a7ad1_F2_metrics_crowding_oi_interaction_48_0860c4f1ca07__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_0860c4f1ca07,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,2.894995367045907,12.323987976698506,8.718156004755134
a7ad1_F2_metrics_crowding_oi_interaction_24_594bcd22578e__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_24_594bcd22578e,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,13.916681880688833,11.961664633540844,8.293390247435736
a7ad1_F2_metrics_crowding_oi_interaction_48_a0589f0c7d54__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_a0589f0c7d54,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,3.979047623516183,11.28106441838834,8.251209855188005
a7ad1_F3_cross_symbol_relative_strength_48_f6abf388e45c__wrong_lag_stale_24h,a7ad1_F3_cross_symbol_relative_strength_48_f6abf388e45c,F3_cross_symbol_relative_strength,wrong_lag_stale_24h,5.881336992416091,10.915836710324706,11.309925272755049
a7ad1_F2_metrics_crowding_oi_interaction_24_e286a5ba0381__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_24_e286a5ba0381,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,4.262155360780975,8.819861591962841,6.922889119091003
a7ad1_F4_volatility_liquidity_capped_24_c644abec893b__sign_flip,a7ad1_F4_volatility_liquidity_capped_24_c644abec893b,F4_volatility_liquidity_capped,sign_flip,4.1253860240312665,8.382376550660727,7.743489177825811
a7ad1_F2_metrics_crowding_oi_interaction_48_f10dc23e99f5__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_f10dc23e99f5,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,2.6229890091615333,8.271623659357974,6.007429125127091
a7ad1_F2_metrics_crowding_oi_interaction_24_105456a9a4c3__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_24_105456a9a4c3,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,6.3756629968815,8.036774992722542,4.219658394991954
a7ad1_F2_metrics_crowding_oi_interaction_24_c8c698935a31__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_24_c8c698935a31,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,5.563906708675046,7.751427922886359,3.809985431145732
a7ad1_F4_volatility_liquidity_capped_48_4c499e2fe4fc__sign_flip,a7ad1_F4_volatility_liquidity_capped_48_4c499e2fe4fc,F4_volatility_liquidity_capped,sign_flip,1.70678305463106,7.3267986630466435,4.691885179494033
a7ad1_F4_volatility_liquidity_capped_48_ae2576ee8bff__sign_flip,a7ad1_F4_volatility_liquidity_capped_48_ae2576ee8bff,F4_volatility_liquidity_capped,sign_flip,0.2379491885411067,6.46314845301056,4.098470052419905
a7ad1_F2_metrics_crowding_oi_interaction_24_afc30c00e56f__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_24_afc30c00e56f,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,7.382836771156099,6.364824564324014,5.903426370209434
a7ad1_F4_volatility_liquidity_capped_24_3aa22e494ac3__wrong_lag_stale_24h,a7ad1_F4_volatility_liquidity_capped_24_3aa22e494ac3,F4_volatility_liquidity_capped,wrong_lag_stale_24h,0.6728347092018323,6.182851565877509,6.194708013092579
a7ad1_F2_metrics_crowding_oi_interaction_24_48e6f7e4cc77__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_24_48e6f7e4cc77,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,5.311106528834167,4.934350120712642,5.169910480417826
a7ad1_F3_cross_symbol_relative_strength_24_f6abf388e45c__wrong_lag_stale_24h,a7ad1_F3_cross_symbol_relative_strength_24_f6abf388e45c,F3_cross_symbol_relative_strength,wrong_lag_stale_24h,3.294386220027737,4.590384508415423,6.764361587882013
a7ad1_F1_funding_residual_controls_48_c8af164c8615__sign_flip,a7ad1_F1_funding_residual_controls_48_c8af164c8615,F1_funding_residual_controls,sign_flip,6.275856877499447,3.50602737021566,2.9025066675487325
a7ad1_F1_funding_residual_controls_24_f6d22df8b339__wrong_lag_stale_24h,a7ad1_F1_funding_residual_controls_24_f6d22df8b339,F1_funding_residual_controls,wrong_lag_stale_24h,2.711930580952992,2.7096776138350243,3.3204758026273646
a7ad1_F3_cross_symbol_relative_strength_48_56c2e12ee4d4__wrong_lag_stale_24h,a7ad1_F3_cross_symbol_relative_strength_48_56c2e12ee4d4,F3_cross_symbol_relative_strength,wrong_lag_stale_24h,12.931194151103176,2.371787503088843,2.279875469471971
a7ad1_F1_funding_residual_controls_48_f6d22df8b339__wrong_lag_stale_24h,a7ad1_F1_funding_residual_controls_48_f6d22df8b339,F1_funding_residual_controls,wrong_lag_stale_24h,10.828015762982965,2.0258640361304887,1.888666165331308
a7ad1_F1_funding_residual_controls_48_aa310d8392f3__wrong_lag_stale_24h,a7ad1_F1_funding_residual_controls_48_aa310d8392f3,F1_funding_residual_controls,wrong_lag_stale_24h,1.4292713908390178,1.6974018934982322,1.821569747640014
a7ad1_F2_metrics_crowding_oi_interaction_48_d7481036181c__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_d7481036181c,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,6.304660277261907,1.4389183628776183,1.3269178248210798
a7ad1_F4_volatility_liquidity_capped_24_4c499e2fe4fc__sign_flip,a7ad1_F4_volatility_liquidity_capped_24_4c499e2fe4fc,F4_volatility_liquidity_capped,sign_flip,3.0838217486987163,1.3565984855837134,1.2518151104064077
a7ad1_F3_cross_symbol_relative_strength_24_56c2e12ee4d4__wrong_lag_stale_24h,a7ad1_F3_cross_symbol_relative_strength_24_56c2e12ee4d4,F3_cross_symbol_relative_strength,wrong_lag_stale_24h,7.675436121282455,1.31192008300013,1.6972650887111924
a7ad1_F4_volatility_liquidity_capped_24_ae2576ee8bff__sign_flip,a7ad1_F4_volatility_liquidity_capped_24_ae2576ee8bff,F4_volatility_liquidity_capped,sign_flip,2.0339811175670777,0.9275071020772184,0.8452215901712415
a7ad1_F4_volatility_liquidity_capped_24_dfa4e2980df0__sign_flip,a7ad1_F4_volatility_liquidity_capped_24_dfa4e2980df0,F4_volatility_liquidity_capped,sign_flip,1.908793529896829,0.7959377105679513,0.7023890146291876
a7ad1_F1_funding_residual_controls_24_aa310d8392f3__wrong_lag_stale_24h,a7ad1_F1_funding_residual_controls_24_aa310d8392f3,F1_funding_residual_controls,wrong_lag_stale_24h,0.2774638041939912,0.6443232643176958,0.9647819222559794
a7ad1_F2_metrics_crowding_oi_interaction_48_5304ba3e486b__wrong_lag_stale_24h,a7ad1_F2_metrics_crowding_oi_interaction_48_5304ba3e486b,F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,3.922386261002725,0.5433011233854919,0.4805100846018364
