semantic_pair,blocker_family,rows
basis_premium_like,pre_may_unstable,1300
open_interest_like|positioning_like,pre_may_unstable,1227
listing_age_like|regime_state,pre_may_unstable,912
listing_age_like,pre_may_unstable,890
open_interest_like|mark_index_basis_bps,pre_may_unstable,854
basis_premium_like,control_dominated,709
volatility_like,control_dominated,544
basis_premium_like|liquidity_rank_active_universe,pre_may_unstable,525
volatility_like,pre_may_unstable,471
open_interest_like|positioning_like,control_dominated,441
basis_premium_like|realized_vol_168h,pre_may_unstable,385
basis_premium_like|volume_volatility_ratio_168h,pre_may_unstable,367
basis_premium_like,lag_fragile,347
listing_age_like|regime_state,control_dominated,271
open_interest_like|funding_rate,pre_may_unstable,240
basis_premium_like|realized_vol_168h,control_dominated,203
basis_premium_like|volume_volatility_ratio_168h,control_dominated,173
volatility_like|premium_close_bps,control_dominated,172
volatility_like|liquidity_rank_active_universe,pre_may_unstable,170
volatility_like|mark_index_basis_bps,pre_may_unstable,142
volatility_like|age_percentile_active_universe,pre_may_unstable,127
basis_premium_like|funding_rate,pre_may_unstable,120
open_interest_like|premium_close_bps,pre_may_unstable,104
open_interest_like|mark_index_basis_bps,control_dominated,99
volatility_like|mark_index_basis_bps,control_dominated,93
volatility_like,rank_label_diagnostic_clue,92
volatility_like|age_percentile_active_universe,control_dominated,77
listing_age_like,control_dominated,75
volatility_like|liquidity_rank_active_universe,control_dominated,69
basis_premium_like|liquidity_rank_active_universe,control_dominated,67
volatility_like|premium_close_bps,pre_may_unstable,51
basis_premium_like|volume_volatility_ratio_168h,lag_fragile,49
basis_premium_like,rank_label_diagnostic_clue,40
volatility_like|age_percentile_active_universe,rank_label_diagnostic_clue,29
open_interest_like|premium_close_bps,control_dominated,15
listing_age_like,rank_label_diagnostic_clue,14
volatility_like,numeric_clue,12
open_interest_like|positioning_like,rank_label_diagnostic_clue,10
volatility_like|premium_close_bps,rank_label_diagnostic_clue,10
basis_premium_like|volume_volatility_ratio_168h,rank_label_diagnostic_clue,10
listing_age_like|regime_state,rank_label_diagnostic_clue,8
basis_premium_like|liquidity_rank_active_universe,lag_fragile,7
basis_premium_like|realized_vol_168h,rank_label_diagnostic_clue,7
volatility_like|premium_close_bps,numeric_clue,7
listing_age_like|regime_state,numeric_clue,6
volatility_like|age_percentile_active_universe,numeric_clue,6
volatility_like|mark_index_basis_bps,rank_label_diagnostic_clue,5
open_interest_like|mark_index_basis_bps,rank_label_diagnostic_clue,4
basis_premium_like|realized_vol_168h,numeric_clue,3
listing_age_like|regime_state,cost_fragile,3
basis_premium_like,cost_fragile,3
basis_premium_like|realized_vol_168h,lag_fragile,2
open_interest_like|mark_index_basis_bps,lag_fragile,2
open_interest_like|positioning_like,numeric_clue,2
basis_premium_like|liquidity_rank_active_universe,cost_fragile,1
basis_premium_like|volume_volatility_ratio_168h,numeric_clue,1
listing_age_like,numeric_clue,1
basis_premium_like,numeric_clue,1
open_interest_like|mark_index_basis_bps,numeric_clue,1
volatility_like,cost_fragile,1
open_interest_like|premium_close_bps,lag_fragile,1
volatility_like|age_percentile_active_universe,cost_fragile,1
volatility_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,1
