semantic_pair,label_family,rows
volatility_like,L1_cross_sectional_relative_return,6
volatility_like,L0_raw_forward_return,6
volatility_like|age_percentile_active_universe,L1_cross_sectional_relative_return,3
volatility_like|premium_close_bps,L1_cross_sectional_relative_return,3
volatility_like|age_percentile_active_universe,L0_raw_forward_return,3
listing_age_like|regime_state,L3_liquidity_tier_relative_return,2
volatility_like|premium_close_bps,L5_vol_adjusted_return,2
listing_age_like|regime_state,L1_cross_sectional_relative_return,2
listing_age_like|regime_state,L0_raw_forward_return,2
open_interest_like|positioning_like,L3_liquidity_tier_relative_return,2
basis_premium_like,L5_vol_adjusted_return,1
basis_premium_like|realized_vol_168h,L1_cross_sectional_relative_return,1
basis_premium_like|realized_vol_168h,L0_raw_forward_return,1
basis_premium_like|volume_volatility_ratio_168h,L3_liquidity_tier_relative_return,1
listing_age_like,L3_liquidity_tier_relative_return,1
open_interest_like|mark_index_basis_bps,L5_vol_adjusted_return,1
basis_premium_like|realized_vol_168h,L3_liquidity_tier_relative_return,1
volatility_like|premium_close_bps,L0_raw_forward_return,1
volatility_like|premium_close_bps,L3_liquidity_tier_relative_return,1
