candidate_id,seed_lane,label_family,label_horizon_h,pass_splits,min_spread,mean_spread,max_control_ratio,min_sample_rows
core26de_S1_liquidity_basis_positioning_00d4ee1a623218,S1_liquidity_basis_positioning,L3_liquidity_tier_relative_return,8,0,-0.002957359755645976,-0.0012111341560767307,3.629919504759769,26558
core26de_S1_liquidity_basis_positioning_014f0555292fe6,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,8,1,-0.0015881942062650246,-0.0003280700078697966,1.2872183560282477,26562
core26de_S1_liquidity_basis_positioning_015eaf2ee2f7d2,S1_liquidity_basis_positioning,L0_raw_forward_return,8,0,-0.0009369318470593229,-0.00043451371879069047,8.026369236646731,26574
core26de_S1_liquidity_basis_positioning_0210b79ffba76c,S1_liquidity_basis_positioning,L3_liquidity_tier_relative_return,8,1,-2.2063526789387457e-05,0.000382942551369454,3.929622593744662,26575
core26de_S1_liquidity_basis_positioning_0280dd8f489f2f,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,24,0,-0.0036705674799677626,-0.0029990540175338708,1.6369248052405023,26562
core26de_S1_liquidity_basis_positioning_05ab89df80ab2b,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,24,0,-0.0002658186783908759,0.0007811141712216361,39.45313554503253,26561
core26de_S1_liquidity_basis_positioning_05c85e2c0ed7d9,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,24,0,-0.004073754212491732,-0.001462999241566691,2.6439036681108017,26575
core26de_S1_liquidity_basis_positioning_05e3e45c7cfc32,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,8,0,-0.001942431052518165,-0.0014453605091246065,1.3532983908551492,26562
core26de_S1_liquidity_basis_positioning_06a93881ecee7c,S1_liquidity_basis_positioning,L0_raw_forward_return,8,0,-0.0004966103495397994,0.00014960574526198039,26.577870957009047,26575
core26de_S1_liquidity_basis_positioning_0784410ed35c90,S1_liquidity_basis_positioning,L0_raw_forward_return,24,0,-0.005208239811379482,-0.003915278639410808,1.7345937882407414,26574
core26de_S1_liquidity_basis_positioning_08882f9da99194,S1_liquidity_basis_positioning,L3_liquidity_tier_relative_return,8,0,-0.0006642436895724238,-7.454234431371326e-05,29.285213535408868,26573
core26de_S1_liquidity_basis_positioning_0a90fff4b107fa,S1_liquidity_basis_positioning,L3_liquidity_tier_relative_return,24,0,-0.001653633563223808,-0.000517101922008475,3.8723894230750706,26558
core26de_S1_liquidity_basis_positioning_0b349b7aa92ad5,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,8,1,-0.0023412298564782835,-0.0009917544894926062,1.043731613606611,26573
core26de_S1_liquidity_basis_positioning_0ef7e81b1f7eed,S1_liquidity_basis_positioning,L1_cross_sectional_relative_return,24,0,-0.0020702282187561576,-0.0008156497534567118,4.630245068000524,26558
core26de_S1_liquidity_basis_positioning_0f77eaac0e8b4d,S1_liquidity_basis_positioning,L3_liquidity_tier_relative_return,8,0,-0.0006930666600080953,-0.00010488936577328385,4.682980353874561,26574
core26de_S1_liquidity_basis_positioning_0f8bf67b38d94b,S1_liquidity_basis_positioning,L3_liquidity_tier_relative_return,8,1,0.0002512858224174134,0.0004940130804504586,2.0192645559431344,26575
