seed_lane,candidates,clean_3_split,near_2_split,median_control,median_spread
S1_liquidity_basis_positioning,180,0,7,3.776568279995564,-0.0005178311436333213
S3_cross_family_bridge,180,0,2,5.8938582208022545,-0.0003919786618385892
