candidate_id,expression,family,field_families,fields,operators,windows,cn_memory_payload_inherited,cn_reward_payload_inherited
crypto_fg2_e3eeee6c6c128159,"Sub(Rank(Mean(top_long_short_account_ratio_last,96)),Rank(Mean(trade_close,96)))",positioning_reversal,positioning|price,top_long_short_account_ratio_last|trade_close,Sub|Rank|Mean|Rank|Mean,96,False,False
crypto_fg2_6f44fa67b5a9ca06,"Mul(Abs(ZScore(Delta(top_long_short_position_ratio_last,72))),Sign(Delta(index_close,12)))",positioning_reversal,positioning|price,index_close|top_long_short_position_ratio_last,Mul|Abs|ZScore|Delta|Sign|Delta,12|72,False,False
crypto_fg2_4afc41266266fbfe,"Mul(Rank(Mean(open_interest_last,12)),ZScore(Delta(mark_close,168)))",oi_price_interaction,open_interest|price,mark_close|open_interest_last,Mul|Rank|Mean|ZScore|Delta,12|168,False,False
crypto_fg2_b711235005348263,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,96)),ZScore(Mean(taker_buy_sell_volume_ratio_mean,12)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_count,Sub|ZScore|Mean|ZScore|Mean,12|96,False,False
crypto_fg2_3cbd1218eef4d5c7,"Add(ZScore(Delta(open_interest_value_mean,72)),ZScore(Delta(trade_close,8)))",oi_price_interaction,open_interest|price,open_interest_value_mean|trade_close,Add|ZScore|Delta|ZScore|Delta,8|72,False,False
crypto_fg2_08f1acb4f96ccf7f,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,168))),Rank(Delta(trade_quote_volume,72)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Mul|Abs|ZScore|Mean|Rank|Delta,72|168,False,False
crypto_fg2_ab5daaf2d4bb1b38,"Sub(Rank(Delta(open_interest_value_last,48)),Rank(Delta(index_close,168)))",oi_price_interaction,open_interest|price,index_close|open_interest_value_last,Sub|Rank|Delta|Rank|Delta,48|168,False,False
crypto_fg2_115383654a40dc95,"Mul(Rank(Mean(trade_volume,336)),ZScore(Delta(mark_low,24)))",liquidity_volatility_guarded,liquidity|volatility,mark_low|trade_volume,Mul|Rank|Mean|ZScore|Delta,24|336,False,False
crypto_fg2_9f9a9ca347b5802f,"Mul(Sign(Delta(open_interest_value_last,504)),Rank(Mean(index_close,12)))",oi_price_interaction,open_interest|price,index_close|open_interest_value_last,Mul|Sign|Delta|Rank|Mean,12|504,False,False
crypto_fg2_bc4bfd6a20077e8c,"Sub(Abs(ZScore(Mean(mark_trade_basis_bps,8))),Abs(ZScore(Mean(funding_rate,720))))",basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,8|720,False,False
crypto_fg2_9501221db0fc209a,"Mul(ZScore(Mean(global_long_short_account_ratio_last,72)),Neg(ZScore(Delta(trade_close,96))))",positioning_reversal,positioning|price,global_long_short_account_ratio_last|trade_close,Mul|ZScore|Mean|Neg|ZScore|Delta,72|96,False,False
crypto_fg2_e894db1889d0e70d,"Add(ZScore(Delta(global_long_short_account_ratio_mean,336)),Neg(Rank(Delta(index_close,48))))",positioning_reversal,positioning|price,global_long_short_account_ratio_mean|index_close,Add|ZScore|Delta|Neg|Rank|Delta,48|336,False,False
crypto_fg2_47fe7bf74113902b,"Sub(Abs(ZScore(Delta(mark_close,336))),Rank(Mean(mark_low,720)))",price_volatility_structure,price|volatility,mark_close|mark_low,Sub|Abs|ZScore|Delta|Rank|Mean,336|720,False,False
