dataset_id,path,exists,size_mb,rows,columns,symbols,timestamp_min,timestamp_max,duplicate_symbol_timestamp,sample_symbols,agg_columns,market_structure_columns,known_independent_metric_source_fields
core39_market_structure_1h,G:\AlphaFactory_CryptoData\gold\features\binance_core39_market_structure_1h_features_v1.parquet,True,185.505,816192,57,39,2024-01-01 00:00:00+00:00,2026-05-21 23:00:00+00:00,0,AAVEUSDT;ADAUSDT;ALGOUSDT;APTUSDT;ARBUSDT;ARUSDT;ATOMUSDT;AVAXUSDT;BCHUSDT;BNBUSDT;BTCUSDT;DOGEUSDT;DOTUSDT;ETCUSDT;ETHUSDT;FILUSDT;GALAUSDT;HBARUSDT;ICPUSDT;IMXUSDT;INJUSDT;JTOUSDT;LINKUSDT;LTCUSDT;MANAUSDT;NEARUSDT;OPUSDT;ORDIUSDT;SANDUSDT;SEIUSDT;SOLUSDT;STXUSDT;SUIUSDT;TIAUSDT;TRXUSDT;UNIUSDT;WLDUSDT;XLMUSDT;XRPUSDT,0,41,0
core39_all_features_metrics_v3_market_structure,G:\AlphaFactory_CryptoData\gold\features\binance_core39_all_features_metrics_v3_market_structure_v1.parquet,True,2541.361,815818,603,39,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,AAVEUSDT;ADAUSDT;ALGOUSDT;APTUSDT;ARBUSDT;ARUSDT;ATOMUSDT;AVAXUSDT;BCHUSDT;BNBUSDT;BTCUSDT;DOGEUSDT;DOTUSDT;ETCUSDT;ETHUSDT;FILUSDT;GALAUSDT;HBARUSDT;ICPUSDT;IMXUSDT;INJUSDT;JTOUSDT;LINKUSDT;LTCUSDT;MANAUSDT;NEARUSDT;OPUSDT;ORDIUSDT;SANDUSDT;SEIUSDT;SOLUSDT;STXUSDT;SUIUSDT;TIAUSDT;TRXUSDT;UNIUSDT;WLDUSDT;XLMUSDT;XRPUSDT,0,41,6
core3_all_features_with_aggtrades,G:\AlphaFactory_CryptoData\gold\features\binance_core3_all_features_metrics_market_structure_aggtrades_v1.parquet,True,315.766,62757,699,3,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,BTCUSDT;ETHUSDT;SOLUSDT,96,41,6
