semantic_pair,motif,selected_count
basis_premium_like|basis_premium_like,sub,3
basis_premium_like,single,1
basis_premium_like|basis_premium_like,safe_div_abs,1
basis_premium_like|volatility_like,gated_sign,1
basis_premium_like|volatility_like,safe_div_abs,1
basis_premium_like|volatility_like,smooth_mul,1
