blueprint_id,semantic_pair,motif,response_rows,non_l7_numeric_clue_rows,rank_label_diag_rows,label_family_count,horizon_count,control_ratio_min,control_ratio_median,robust_min_tstat_max,cost10_recent_max,score_no_may,skeleton_key,selected_for_a7ff28_preflight
a7ff24r_650915032f2a5979,basis_premium_like|volatility_like,gated_sign,20,8,2,5,4,0.2453842763284579,0.8807722187988893,7.04825933782845,0.4619944332646416,395.47018653451545,skel_136259b72205469f,True
a7ff24r_858ff2210f276fcf,basis_premium_like,single,20,7,2,5,4,0.1302732581010836,0.9102859443517264,7.04825933782845,0.4619944332646416,395.58315609780846,skel_1d39996e97d5ace0,True
a7ff24r_389e925b81a0c645,basis_premium_like|volatility_like,smooth_mul,20,7,2,5,4,0.2939046454744008,0.9245365636836691,4.409419068891838,0.2998562970348359,198.92989581550088,skel_8184698cb7b24c02,True
a7ff24r_bcc3435cf539d883,basis_premium_like|basis_premium_like,sub,20,4,1,5,4,0.1659312825392914,2.3322376321263416,8.974363794889275,0.2801966633811296,159.012128015725,skel_f8484b844efd270f,True
a7ff24r_145e2d58adad4f4a,basis_premium_like|basis_premium_like,safe_div_abs,20,1,1,5,4,0.2049925304284162,1.8293807007997054,7.849415658768739,0.1352933136578774,142.5056541369953,skel_c80f62c274b367a9,True
a7ff24r_09dc2d7e51641cb0,basis_premium_like|basis_premium_like,sub,20,1,2,5,4,0.3692168496070436,2.426837305730768,6.750832027236792,0.2729751683389385,91.49768234590108,skel_0994b3a36a4d53ba,True
a7ff24r_c223ee324263786f,basis_premium_like|volatility_like,safe_div_abs,20,1,1,5,4,0.8342023220501364,4.812140776483481,2.531146992895294,0.0841199456515286,91.44583069386412,skel_d9d4f69744bac825,True
a7ff24r_14bb4d389b4b94f0,basis_premium_like|basis_premium_like,sub,20,1,0,5,4,0.4443713668143062,12.535090078687059,3.713591810108156,0.0925207534339725,85.88018612319173,skel_97ea9710bb50e137,True
a7ff24r_8d906801b8dec4c0,basis_premium_like|basis_premium_like,mul,20,4,0,5,4,0.6009929984629782,3.9498619185733848,4.122855921207231,0.2265001087489117,119.32699648095098,skel_f8484b844efd270f,False
a7ff24r_62921caa01dbd001,basis_premium_like|volatility_like,safe_div_abs,20,4,0,5,4,0.1718061562710562,2.126153629966068,5.48239191383339,0.092297792376903,99.98079764637008,skel_c80f62c274b367a9,False
a7ff24r_4f5fad181e850eac,price_like|volatility_like,gated_sign,20,4,2,5,4,0.3289128106060145,1.3316328376520024,4.851655563484154,0.0382802392297213,45.5466203304995,skel_c80f62c274b367a9,False
a7ff24r_b74c05b6f58309a0,basis_premium_like|price_like,safe_div_abs,20,3,1,5,4,0.5596232176932732,3.7337525852842823,2.2410655169905795,0.0799569016944933,87.45358130522496,skel_c80f62c274b367a9,False
a7ff24r_809e5867ebe18c47,basis_premium_like|price_like,safe_div_abs,20,3,0,5,4,0.7705688717109153,4.675333649654762,2.4936025859544806,0.0681169085815084,75.35264493943431,skel_c80f62c274b367a9,False
a7ff24r_f695d065dec8c1ad,basis_premium_like|basis_premium_like,mul,20,1,0,5,4,0.5170012029919704,3.7712718090928887,2.2838873152138603,0.3075628211416583,48.85328376233343,skel_0994b3a36a4d53ba,False
