source_file,source_blueprint_id,blueprint_id,horizon_h,variant,split,formula,n_obs,net_mean,net_median,sharpe,sortino,nonoverlap_median_sortino,nonoverlap_floor_sortino,nonoverlap_median_sharpe,nonoverlap_floor_sharpe,max_drawdown,positive_rate,avg_cost,avg_turnover,ic_mean,rankic_mean,capacity_proxy_median_quote_volume,source_lag_hours,orientation,train_orientation_pos_net_mean_24h,train_orientation_neg_net_mean_24h
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_canonical,8,original,blind_june2026_20260601_20260611,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",264,0.0004990062328736,0.0005134435180922,6.342201838651276,9.798191704377135,9.923970520962405,6.805517069687709,6.132002318997706,4.922262598581659,-0.0839043742233257,0.5871212121212122,5.520268561533522e-05,0.1104053712306704,0.0308052846119809,0.0404795665756035,10595217.140214808,0,-1.0,-0.000516510191744,0.0004422817928123
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_canonical,8,source_lag_1h,blind_june2026_20260601_20260611,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",264,0.0003963922256285,0.0003773354190978,5.05413988424481,7.464967662706907,7.362853252366351,4.562651158430548,4.977016678629878,2.996770123430149,-0.0849776937702156,0.5871212121212122,5.519471899489769e-05,0.1103894379897953,0.026163608580642,0.0349965550951852,10741753.738653596,1,-1.0,-0.000516510191744,0.0004422817928123
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_canonical,8,source_lag_2h,blind_june2026_20260601_20260611,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",264,0.0003504700324965,0.0003668145107352,4.500875094243407,6.570655141643765,6.347273696731568,4.070745576440106,4.433638408306852,2.6169627628250693,-0.0868439843049734,0.5568181818181818,5.5187425733157954e-05,0.1103748514663159,0.0239727399040843,0.0321666439503904,10363306.411067544,2,-1.0,-0.000516510191744,0.0004422817928123
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_canonical,8,source_lag_4h,blind_june2026_20260601_20260611,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",264,0.0002500442826091,0.0002932325289193,3.158857166125122,4.489471396336296,4.302181350585242,1.7631847980563706,2.947822979428472,1.2070406501710296,-0.0892344553381755,0.5492424242424242,5.51767744228474e-05,0.1103535488456947,0.0192786683952041,0.0271343265762228,10561804.65581587,4,-1.0,-0.000516510191744,0.0004422817928123
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_canonical,8,control_one_bar_lag,blind_june2026_20260601_20260611,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",264,0.0003963922256285,0.0003773354190978,5.05413988424481,7.464967662706907,7.362853252366351,4.562651158430548,4.977016678629878,2.996770123430149,-0.0849776937702156,0.5871212121212122,5.519471899489769e-05,0.1103894379897953,0.026163608580642,0.0349965550951852,10741753.738653596,1,-1.0,,
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_single_csrank_funding_rate_delta_state_24h,8,original,blind_june2026_20260601_20260611,CSRank(funding_rate_delta_state_24h),264,-0.0005588029017973,-0.0005272922985516,-6.78972714132939,-8.3558985771952,-7.438861009790225,-13.827286934659485,-6.066934694201802,-11.220223907268243,-0.1412178298026124,0.4166666666666667,5.0207628885878576e-05,0.1004152577717571,-0.0300674229673612,-0.0418754582063035,9174786.780969828,0,-1.0,-0.0001191263604373,2.962880753199184e-05
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_single_csrank_funding_rate_delta_state_24h,8,source_lag_1h,blind_june2026_20260601_20260611,CSRank(funding_rate_delta_state_24h),264,-0.0004865288841638,-0.000477691950869,-5.913746184146486,-7.348634654510723,-7.40060996726154,-12.955558364962677,-5.925830190671364,-10.126250054273733,-0.1313601985456451,0.4166666666666667,5.020855366097327e-05,0.1004171073219465,-0.0256341607969048,-0.0398572804418905,8855755.807061728,1,-1.0,-0.0001191263604373,2.962880753199184e-05
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_single_csrank_funding_rate_delta_state_24h,8,source_lag_2h,blind_june2026_20260601_20260611,CSRank(funding_rate_delta_state_24h),264,-0.0003736243693605,-0.0003846706387946,-4.487511263507328,-5.776558068361605,-6.254649525762195,-8.761218993602691,-4.914451830749838,-6.746840542521793,-0.1108210614111179,0.4356060606060606,5.020947843606797e-05,0.1004189568721359,-0.0208353349450674,-0.0367717880100167,8862748.691034876,2,-1.0,-0.0001191263604373,2.962880753199184e-05
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_single_csrank_funding_rate_delta_state_24h,8,source_lag_4h,blind_june2026_20260601_20260611,CSRank(funding_rate_delta_state_24h),264,-0.0002326040544349,-0.0002353583919289,-2.730492972469585,-3.6939090018090326,-4.45764338758361,-6.577847020085364,-3.2932713613504023,-4.943105209867552,-0.0865334536592663,0.4583333333333333,5.009012514156104e-05,0.100180250283122,-0.0144849111926132,-0.0328325853349716,9139364.243216228,4,-1.0,-0.0001191263604373,2.962880753199184e-05
D:\HermesWorker\runtime\a7source9_a7search8_incremental_source_lag_retest_20260708\shards\a7source5_s000\runtime\a7source4_source_lag_metrics.csv,a7search7_9168babaa32dc76c,a7search6_vp_a7search7_9168babaa32dc76c_single_csrank_funding_rate_delta_state_24h,8,control_one_bar_lag,blind_june2026_20260601_20260611,CSRank(funding_rate_delta_state_24h),264,-0.0004865288841638,-0.000477691950869,-5.913746184146486,-7.348634654510723,-7.40060996726154,-12.955558364962677,-5.925830190671364,-10.126250054273733,-0.1313601985456451,0.4166666666666667,5.020855366097327e-05,0.1004171073219465,-0.0256341607969048,-0.0398572804418905,8855755.807061728,1,-1.0,,
