mode,registry_field_count,eligible_motif_family_count,generated_count,error,blocked_field_leak_count,sample_expression,decision
ordinary_alpha,1,0,0,no motif families have fields allowed for field_mode=ordinary_alpha,0,,PASS_FAIL_CLOSED_NO_ELIGIBLE_MOTIF
diagnostic,21,5,8,,0,"Add(ZScore(Delta(taker_buy_sell_volume_ratio_last,48)),Rank(Mean(trade_volume,168)))",PASS
risk_defense,5,0,0,no motif families have fields allowed for field_mode=risk_defense,0,,PASS_FAIL_CLOSED_NO_ELIGIBLE_MOTIF
