source_blueprint_id,validation_group,blueprint_id,horizon_h,rows,train_sortino,validation_sortino,test_sortino,recent_sortino,min_oos_floor_sortino,stress_floor_sortino,recent_shuffle_control_ratio,formula,semantic_pair,motif,skeleton_key,expression,decision,seed_rank,seed_role,allowed_next_use,blocked_next_use,required_next_checks
a7search7_1579560a060d20ec,canonical,a7search6_vp_a7search7_1579560a060d20ec_canonical,8,1,2.447305229303625,15.881456861502484,11.874467092252658,18.388209619597973,8.503209785655429,1.273218068601687,0.3552408156918306,"CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72)))))",funding_dense|open_interest,shadow_selected_exact_probe_validation,canonical,"CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72)))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,1,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_9168babaa32dc76c,canonical,a7search6_vp_a7search7_9168babaa32dc76c_canonical,8,1,2.447305229303625,15.881456861502484,11.874467092252658,18.388209619597973,8.503209785655429,1.273218068601687,0.3988430340426276,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",funding_dense|open_interest,shadow_selected_rank_wrap_validation,canonical,"CSRank(CSRank(SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,2,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_f57e92c650f903b6,canonical,a7search6_vp_a7search7_f57e92c650f903b6_canonical,8,1,2.220763300703532,7.780125944710258,8.337275276136427,4.083334606857666,2.1164923827517392,0.8606260169957181,0.5104437288188164,"CSRank(SafeDiv(TSRank(open_interest_value_mean,240),Abs(TSRank(global_long_short_account_ratio_last,24))))",funding_dense|open_interest,shadow_selected_rank_wrap_validation,canonical,"CSRank(SafeDiv(TSRank(open_interest_value_mean,240),Abs(TSRank(global_long_short_account_ratio_last,24))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,3,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_fa2bcb9f82277249,canonical,a7search6_vp_a7search7_fa2bcb9f82277249_canonical,8,1,2.220763300703532,7.780125944710258,8.337275276136427,4.083334606857666,2.1164923827517392,0.8606260169957181,0.4583514334991974,"SafeDiv(TSRank(open_interest_value_mean,240),Abs(TSRank(global_long_short_account_ratio_last,24)))",funding_dense|open_interest,shadow_selected_exact_probe_validation,canonical,"SafeDiv(TSRank(open_interest_value_mean,240),Abs(TSRank(global_long_short_account_ratio_last,24)))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,4,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_4e22e196bfeb8bce,canonical,a7search6_vp_a7search7_4e22e196bfeb8bce_canonical,24,1,1.897121417739672,3.609576029473752,5.470241527041146,16.22179184535142,1.0635406593641483,8.198781003246438,0.5827897300454988,"SafeDiv(Delta(open_interest_value_last,240),Abs(ZScore(Mean(global_long_short_account_ratio_last,96))))",open_interest|positioning,positive_prior_safe_div_abs_validation,canonical,"SafeDiv(Delta(open_interest_value_last,240),Abs(ZScore(Mean(global_long_short_account_ratio_last,96))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,5,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_52353a2ad0ece8e8,canonical,a7search6_vp_a7search7_52353a2ad0ece8e8_canonical,24,1,3.1977519882631413,3.430013290497196,9.558723816565832,12.012112377685916,0.4978886707127808,6.406219883340342,0.2834700989144808,"CSRank(Mul(CSRank(CSRank(Delta(open_interest_value_mean,240))),Sign(Decay(mark_index_basis_bps,72))))",funding_dense|open_interest,shadow_selected_rank_wrap_validation,canonical,"CSRank(Mul(CSRank(CSRank(Delta(open_interest_value_mean,240))),Sign(Decay(mark_index_basis_bps,72))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,6,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_e7180b1ba6a1df1a,canonical,a7search6_vp_a7search7_e7180b1ba6a1df1a_canonical,24,1,3.1977519882631413,3.430013290497196,9.558723816565832,12.012112377685916,0.4978886707127808,6.406219883340342,0.2407693081105884,"Mul(CSRank(CSRank(Delta(open_interest_value_mean,240))),Sign(Decay(mark_index_basis_bps,72)))",funding_dense|open_interest,shadow_selected_exact_probe_validation,canonical,"Mul(CSRank(CSRank(Delta(open_interest_value_mean,240))),Sign(Decay(mark_index_basis_bps,72)))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,7,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_124582cf9a6d54a0,canonical,a7search6_vp_a7search7_124582cf9a6d54a0_canonical,24,1,0.9975055040572252,4.20617960520708,4.958534135754837,12.667583628300497,0.3186594232533586,7.409484369336477,0.0671119104197431,"CSRank(Mul(CSRank(CSRank(Delta(open_interest_value_mean,240))),Sign(CSRank(Delta(mark_index_basis_bps,12)))))",funding_dense|open_interest,shadow_selected_rank_wrap_validation,canonical,"CSRank(Mul(CSRank(CSRank(Delta(open_interest_value_mean,240))),Sign(CSRank(Delta(mark_index_basis_bps,12)))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,8,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_8ecc4a9a053a0d59,canonical,a7search6_vp_a7search7_8ecc4a9a053a0d59_canonical,24,1,0.9446108630183258,4.20617960520708,4.958534135754837,12.667583628300497,0.3186594232533586,7.409484369336477,0.1272960783839755,"CSRank(Mul(CSRank(Delta(open_interest_value_mean,240)),Sign(TSRank(premium_abs_state,504))))",funding_dense|open_interest,shadow_selected_rank_wrap_validation,canonical,"CSRank(Mul(CSRank(Delta(open_interest_value_mean,240)),Sign(TSRank(premium_abs_state,504))))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,9,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
a7search7_b2e42dec52899bd0,canonical,a7search6_vp_a7search7_b2e42dec52899bd0_canonical,24,1,0.9446108630183258,4.20617960520708,4.958534135754837,12.667583628300497,0.3186594232533586,7.409484369336477,0.4974107774259518,"Mul(CSRank(Delta(open_interest_value_mean,240)),Sign(TSRank(premium_abs_state,504)))",funding_dense|open_interest,shadow_selected_exact_probe_validation,canonical,"Mul(CSRank(Delta(open_interest_value_mean,240)),Sign(TSRank(premium_abs_state,504)))",PASS_INCREMENTAL_INTERACTION_EVIDENCE,10,source_lag_proven_incremental_seed,small_mechanism_expansion_and_control_strict_search,alpha_proof|shadow|paper|live|single_leg_promotion,formula_identity_lock|source_lag_inheritance|single_leg_recheck|operator_neighbor_recheck|walk_forward_2026_holdout|capacity_turnover_realism|family_cap
