authorizes_alpha_proof,authorizes_search,authorizes_shadow_paper_live,blockers,decision,executes_generation,executes_numeric_probe,executes_replay,executes_search,generated_at,hours_per_split,input_blueprint_count,label_response_rows,labels,materialized_activity_ok_count,missing_numeric_fields,non_l7_numeric_clue_rows,plan,portfolio_queue_count,queue_limit,queue_offset,queue_path,queue_total_rows,rank_label_diagnostic_clue_rows,selected_portfolio_queue_count,stage,uses_may,writes_control_detail,shard_id
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s000_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T04:41:04Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],508,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",206,256,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,154,1,A7LS-28B-a7ls28b_num_s000,False,False,a7ls28b_num_s000
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s001_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T04:41:27Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],413,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",167,256,256,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,91,1,A7LS-28B-a7ls28b_num_s001,False,False,a7ls28b_num_s001
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s002_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T04:40:20Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],492,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",177,256,512,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,273,1,A7LS-28B-a7ls28b_num_s002,False,False,a7ls28b_num_s002
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s003_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T05:36:30Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],437,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",186,256,768,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,458,1,A7LS-28B-a7ls28b_num_s003,False,False,a7ls28b_num_s003
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s004_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T05:37:49Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],359,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",148,256,1024,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,140,1,A7LS-28B-a7ls28b_num_s004,False,False,a7ls28b_num_s004
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s005_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T05:38:27Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],151,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",102,256,1280,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,69,1,A7LS-28B-a7ls28b_num_s005,False,False,a7ls28b_num_s005
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s006_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T06:33:19Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],185,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",105,256,1536,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,60,1,A7LS-28B-a7ls28b_num_s006,False,False,a7ls28b_num_s006
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s007_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T06:36:28Z,2160,256,5120,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",256,[],264,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",131,256,1792,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,149,1,A7LS-28B-a7ls28b_num_s007,False,False,a7ls28b_num_s007
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s008_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T06:29:25Z,2160,256,4600,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",230,[],354,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",144,256,2048,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,81,1,A7LS-28B-a7ls28b_num_s008,False,False,a7ls28b_num_s008
False,False,False,['portfolio_selected_lt_4'],HOLD_A7LS28Ba7ls28b_num_s009_PORTFOLIO_QUEUE_TOO_SMALL,False,True,False,False,2026-06-09T07:10:54Z,2160,256,3840,"['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return']",192,[],504,"{'control_probe_cap': 256, 'controls': ['wrong_lag_future', 'wrong_lag_stale', 'time_shuffle', 'symbol_shuffle', 'sign_flip', 'same_family_placebo'], 'deep_audit_cap': 64, 'fast_numeric_probe_cap': 256, 'horizons': ['1h', '4h', '8h', '24h'], 'input_blueprint_source': 'runtime/a7ff7e_expanded_derivation_probe_contract/a7ff7e_expanded_blueprint_pool.csv', 'labels': ['L0_raw_forward_return', 'L1_cross_sectional_relative_return', 'L3_liquidity_tier_relative_return', 'L5_vol_adjusted_return', 'L7_ranked_future_return_diagnostic_only'], 'materialize_cap': 384, 'portfolio_marginal_probe_cap': 128, 'promotion_blockers': ['L7-only cannot promote', 'control_ratio >= 1.0 blocks', 'single semantic_pair > 35pct blocks', 'single skeleton > 15pct blocks', 'numeric replay required before any search authorization'], 'required_outputs': ['a7ff8_materialization_metrics.csv', 'a7ff8_label_response_metrics.csv', 'a7ff8_control_dominance_metrics.csv', 'a7ff8_nonoverlap_stats.csv', 'a7ff8_portfolio_marginal_proxy.csv', 'a7ff8_decision_record.json'], 'selected_blueprints': 384, 'stage': 'A7FF-8', 'status': 'contract_only_not_executed'}",181,256,2304,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls28b_targeted_numeric_wave_20260609\a7ls28b_targeted_blueprint_queue.csv,2836,184,1,A7LS-28B-a7ls28b_num_s009,False,False,a7ls28b_num_s009
