return_corr_cluster,survivor_rows,survivor_candidates,median_control_ratio,median_recent_spread
1,6,6,0.955289755450635,0.0335111462090366
0,2,2,0.6694422261996091,0.0361177513135527
4,2,2,0.32656854162707527,0.017070683863352698
2,1,1,0.931427355618928,0.0601275160330706
3,1,1,0.3599408176329564,0.028574420974347
5,1,1,0.6237531972248406,0.028454615624839
15,1,1,0.7894423648682646,0.011706314711791
19,1,1,0.603110571917048,0.0147867786861903
