label_family,horizon_h,survivor_rows,survivor_candidates,median_control_ratio,median_recent_spread
L7_ranked_future_return,1,9,9,0.8610792896277294,0.0320244257586867
L7_ranked_future_return,4,6,6,0.6694422261996091,0.03222809175874405
