return_corr_cluster,clue_rows,survivor_rows,candidate_count
0,2,2,2
1,6,6,6
2,1,1,1
3,1,1,1
4,2,2,2
5,1,1,1
6,1,0,1
7,2,0,2
8,1,0,1
9,2,0,1
10,1,0,1
11,1,0,1
12,1,0,1
13,2,0,1
14,2,0,1
15,1,1,1
16,1,0,1
17,1,0,1
18,2,0,2
19,1,1,1
20,1,0,1
